iso3,country_name,year,start_date,start_date_accuracy,end_date,end_date_accuracy,event_name,hazard_category,hazard_category_name,hazard_sub_category,hazard_sub_category_name,hazard_type,hazard_type_name,hazard_sub_type,hazard_subtype_name,new_displacement,new_displacement_rounded,total_displacement,total_displacement_rounded,event_codes
DZA,Algeria,2008,2008-01-31,Day,2008-03-03,Day,Algeria: Flood - 31/01/2008,2,Weather related,3,Hydrological,10,Flood,13,,25000,25000,,,[]
IDN,Indonesia,2008,2008-02-01,Month,2008-02-01,Month,Indonesia: Earthquake - 01/02/2008,1,Geophysical,1,Geophysical,1,Earthquake,1,,500,500,,,[]
BRA,Brazil,2008,2008-02-02,Day,2008-02-06,Day,Brazil: Flood - 02/02/2008,2,Weather related,3,Hydrological,10,Flood,13,,1435,1400,,,[]
COD,Democratic Republic of the Congo,2008,2008-02-04,Day,2008-04-02,Day,Dem. Rep. Congo: Flood - 04/02/2008,2,Weather related,3,Hydrological,10,Flood,13,,500,500,,,[]
MMR,Myanmar,2008,2008-02-05,Day,2008-05-03,Day,Myanmar: Storm - 05/02/2008,2,Weather related,4,Meteorological,14,Storm,21,,2250000,2250000,,,[]
THA,Thailand,2008,2008-02-05,Day,2008-05-03,Day,Thailand: Storm - 05/02/2008,2,Weather related,4,Meteorological,14,Storm,21,,1000,1000,,,[]
CHN,China,2008,2008-02-05,Day,2008-05-05,Day,China: Flood - 05/02/2008,2,Weather related,3,Hydrological,10,Flood,13,,1900,1900,,,[]
CHL,Chile,2008,2008-02-05,Day,2008-05-06,Day,Chile: Volcanic activity - 05/02/2008,1,Geophysical,1,Geophysical,3,Volcanic activity,5,,8000,8000,,,[]
PAK,Pakistan,2008,2008-02-08,Day,2008-08-04,Day,Pakistan: Flood - 08/02/2008,2,Weather related,3,Hydrological,10,Flood,13,,82000,82000,,,[]
CRI,Costa Rica,2008,2008-02-09,Day,2008-09-02,Day,Costa Rica: Flood - 09/02/2008,2,Weather related,3,Hydrological,10,Flood,13,,2140,2100,,,[]
HTI,Haiti,2008,2008-02-09,Day,2008-09-03,Day,Haiti: Storm - 09/02/2008,2,Weather related,4,Meteorological,14,Storm,21,,20,20,,,[]
MDG,Madagascar,2008,2008-02-17,Day,2008-03-03,Day,Madagascar: Storm - 17/02/2008,2,Weather related,4,Meteorological,14,Storm,21,,191182,191000,,,[]
PRT,Portugal,2008,2008-02-18,Day,2008-02-18,Day,Portugal: Flood - 18/02/2008,2,Weather related,3,Hydrological,10,Flood,13,,38,38,,,[]
IDN,Indonesia,2008,2008-02-20,Day,2008-02-20,Day,Indonesia: Earthquake - 20/02/2008,1,Geophysical,1,Geophysical,1,Earthquake,1,,3315,3300,,,[]
COD,Democratic Republic of the Congo,2008,2008-03-02,Day,2008-02-03,Day,Dem. Rep. Congo: Earthquake - 02/03/2008,1,Geophysical,1,Geophysical,1,Earthquake,1,,4575,4600,,,[]
FRA,France,2008,2008-03-08,Day,2008-08-04,Day,France: Storm - 08/03/2008,2,Weather related,4,Meteorological,14,Storm,21,,870,870,,,[]
SOM,Somalia,2008,2008-03-11,Day,2008-11-04,Day,Somalia: Flood - 11/03/2008,2,Weather related,3,Hydrological,10,Flood,13,,12000,12000,,,[]
TZA,United Republic of Tanzania,2008,2008-03-17,Day,2008-04-04,Day,Tanzania: Flood - 17/03/2008,2,Weather related,3,Hydrological,10,Flood,13,,2000,2000,,,[]
KEN,Kenya,2008,2008-03-17,Day,2008-04-05,Day,Kenya: Flood - 17/03/2008,2,Weather related,3,Hydrological,10,Flood,13,,100,100,,,[]
BRA,Brazil,2008,2008-03-30,Day,2008-04-04,Day,Brazil: Flood - 30/03/2008,2,Weather related,3,Hydrological,10,Flood,13,,190000,190000,,,[]
USA,United States of America,2008,2008-04-01,Day,2008-01-09,Day,United States: Storm - 01/04/2008,2,Weather related,4,Meteorological,14,Storm,21,,38000,38000,,,[]
PER,Peru,2008,2008-04-02,Day,2008-03-14,Day,Peru: Flood - 02/04/2008,2,Weather related,3,Hydrological,10,Flood,13,,45000,45000,,,[]
PHL,Philippines,2008,2008-04-09,Day,2008-09-13,Day,Philippines: Flood - 09/04/2008,2,Weather related,3,Hydrological,10,Flood,13,,350000,350000,,,[]
COL,Colombia,2008,2008-04-14,Day,2008-04-14,Day,Colombia: Volcanic activity - 14/04/2008,1,Geophysical,1,Geophysical,3,Volcanic activity,5,,13000,13000,,,[]
IDN,Indonesia,2008,2008-04-15,Day,2008-04-15,Day,Indonesia: Volcanic activity - 15/04/2008,1,Geophysical,1,Geophysical,3,Volcanic activity,5,,5000,5000,,,[]
AFG,Afghanistan,2008,2008-04-17,Day,2008-04-17,Day,Afghanistan: Earthquake - 17/04/2008,1,Geophysical,1,Geophysical,1,Earthquake,1,,3250,3200,,,[]
CHN,China,2008,2008-04-19,Day,2008-04-19,Day,China: Storm - 19/04/2008,2,Weather related,4,Meteorological,14,Storm,21,,120000,120000,,,[]
IDN,Indonesia,2008,2008-04-23,Day,2008-04-27,Day,Indonesia: Flood - 23/04/2008,2,Weather related,3,Hydrological,10,Flood,13,,34000,34000,,,[]
CAN,Canada,2008,2008-04-26,Day,2008-05-01,Day,Canada: Flood - 26/04/2008,2,Weather related,3,Hydrological,10,Flood,13,,1830,1800,,,[]
LKA,Sri Lanka,2008,2008-04-27,Day,2008-05-03,Day,Sri Lanka: Storm - 27/04/2008,2,Weather related,4,Meteorological,14,Storm,21,,33408,33000,,,[]
IDN,Indonesia,2008,2008-05-01,Month,2008-05-01,Month,Indonesia: Landslide/Wet mass movement - 01/05/2008,2,Weather related,3,Hydrological,11,Mass Movement,15,,16000,16000,,,[]
IND,India,2008,2008-05-07,Day,2008-07-14,Day,India: Flood - 07/05/2008,2,Weather related,3,Hydrological,10,Flood,13,,2800,2800,,,[]
CHN,China,2008,2008-05-08,Day,2008-08-05,Day,China: Earthquake - 08/05/2008,1,Geophysical,1,Geophysical,1,Earthquake,1,,16000,16000,,,[]
KGZ,Kyrgyzstan,2008,2008-05-10,Day,2008-10-05,Day,Kyrgyzstan: Earthquake - 10/05/2008,1,Geophysical,1,Geophysical,1,Earthquake,1,,1055,1100,,,[]
PHL,Philippines,2008,2008-05-18,Day,2008-05-18,Day,Philippines: Storm - 18/05/2008,2,Weather related,4,Meteorological,14,Storm,21,,54705,55000,,,[]
CHL,Chile,2008,2008-05-19,Day,2008-05-27,Day,Chile: Flood - 19/05/2008,2,Weather related,3,Hydrological,10,Flood,13,,12000,12000,,,[]
CHN,China,2008,2008-05-27,Day,2008-06-05,Day,China: Flood - 27/05/2008,2,Weather related,3,Hydrological,10,Flood,13,,4600,4600,,,[]
NIC,Nicaragua,2008,2008-05-29,Day,2008-05-29,Day,Nicaragua: Storm - 29/05/2008,2,Weather related,4,Meteorological,14,Storm,21,,1390,1400,,,[]
LKA,Sri Lanka,2008,2008-05-29,Day,2008-06-05,Day,Sri Lanka: Flood - 29/05/2008,2,Weather related,3,Hydrological,10,Flood,13,,400000,400000,,,[]
ETH,Ethiopia,2008,2008-05-30,Day,2008-05-31,Day,Ethiopia: Flood - 30/05/2008,2,Weather related,3,Hydrological,10,Flood,13,,810,810,,,[]
USA,United States of America,2008,2008-06-01,Month,2008-06-01,Month,United States: Flood - 01/06/2008,2,Weather related,3,Hydrological,10,Flood,13,,11000,11000,,,[]
BRA,Brazil,2008,2008-06-05,Day,2008-05-06,Day,Brazil: Storm - 05/06/2008,2,Weather related,4,Meteorological,14,Storm,21,,25000,25000,,,[]
EGY,Egypt,2008,2008-06-09,Day,2008-09-06,Day,Egypt: Dry mass movement - 09/06/2008,1,Geophysical,1,Geophysical,2,Mass Movement,3,,20000,20000,,,[]
PHL,Philippines,2008,2008-06-09,Day,2008-09-06,Day,Philippines: Landslide/Wet mass movement - 09/06/2008,2,Weather related,3,Hydrological,11,Mass Movement,15,,12124,12000,,,[]
HTI,Haiti,2008,2008-06-09,Day,2008-09-08,Day,Haiti: Storm - 09/06/2008,2,Weather related,4,Meteorological,14,Storm,21,,111391,111000,,,[]
IDN,Indonesia,2008,2008-06-09,Day,2008-09-08,Day,Indonesia: Flood - 09/06/2008,2,Weather related,3,Hydrological,10,Flood,13,,17352,17000,,,[]
CHN,China,2008,2008-06-10,Day,2008-10-06,Day,China: Earthquake - 10/06/2008,1,Geophysical,1,Geophysical,1,Earthquake,1,,855,860,,,[]
PHL,Philippines,2008,2008-06-11,Day,2008-11-11,Day,Philippines: Storm - 11/06/2008,2,Weather related,4,Meteorological,14,Storm,21,,1185,1200,,,[]
USA,United States of America,2008,2008-06-20,Day,2008-07-09,Day,United States: Wildfire - 20/06/2008,2,Weather related,2,Climatological,9,Wildfire,11,,300,300,,,[]
CHN,China,2008,2008-06-24,Day,2008-06-27,Day,China: Storm - 24/06/2008,2,Weather related,4,Meteorological,14,Storm,21,,6000,6000,,,[]
BEN,Benin,2008,2008-07-01,Month,2008-07-01,Month,Benin: Flood - 01/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,150000,150000,,,[]
BGD,Bangladesh,2008,2008-07-01,Month,2008-07-01,Month,Bangladesh: Flood - 01/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,2250,2200,,,[]
GNB,Guinea-Bissau,2008,2008-07-01,Month,2008-07-01,Month,Guinea-Bissau: Flood - 01/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,750,750,,,[]
LBR,Liberia,2008,2008-07-01,Month,2008-07-01,Month,Liberia: Flood - 01/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,1000,1000,,,[]
NER,Niger,2008,2008-07-01,Month,2008-07-01,Month,Niger: Flood - 01/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,4300,4300,,,[]
GHA,Ghana,2008,2008-07-01,Month,2008-08-01,Month,Ghana: Flood - 01/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,14292,14000,,,[]
NPL,Nepal,2008,2008-07-01,Month,2008-08-01,Month,Nepal: Flood - 01/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,70000,70000,,,[]
CAF,Central African Republic,2008,2008-07-01,Month,2008-09-01,Month,Central African Republic: Flood - 01/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,14000,14000,,,[]
CMR,Cameroon,2008,2008-07-01,Month,2008-09-01,Month,Cameroon: Flood - 01/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,1000,1000,,,[]
CHN,China,2008,2008-07-06,Day,2008-06-22,Day,China: Flood - 06/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,1660000,1660000,,,[]
CHN,China,2008,2008-07-07,Day,2008-07-07,Day,China: Flood - 07/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,31000,31000,,,[]
PRY,Paraguay,2008,2008-07-08,Day,2008-08-07,Day,Paraguay: Storm - 08/07/2008,2,Weather related,4,Meteorological,14,Storm,21,,60,60,,,[]
CHN,China,2008,2008-07-08,Day,2008-08-11,Day,China: Flood - 08/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,42100,42000,,,[]
BHS,Bahamas,2008,2008-07-09,Day,2008-09-07,Day,Bahamas: Storm - 09/07/2008,2,Weather related,4,Meteorological,14,Storm,21,,500,500,,,[]
PHL,Philippines,2008,2008-07-18,Day,2008-07-18,Day,Philippines: Storm - 18/07/2008,2,Weather related,4,Meteorological,14,Storm,21,,3080,3100,,,[]
MEX,Mexico,2008,2008-07-20,Day,2008-07-21,Day,Mexico: Storm - 20/07/2008,2,Weather related,4,Meteorological,14,Storm,21,,13100,13000,,,[]
TCD,Chad,2008,2008-07-20,Day,2008-08-25,Day,Chad: Flood - 20/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,10000,10000,,,[]
GTM,Guatemala,2008,2008-07-21,Day,2008-07-21,Day,Guatemala: Storm - 21/07/2008,2,Weather related,4,Meteorological,14,Storm,21,,5000,5000,,,[]
MDA,Republic of Moldova,2008,2008-07-26,Day,2008-07-27,Day,Moldova: Flood - 26/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,200,200,,,[]
UKR,Ukraine,2008,2008-07-26,Day,2008-07-27,Day,Ukraine: Flood - 26/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,25000,25000,,,[]
JPN,Japan,2008,2008-07-28,Day,2008-07-29,Day,Japan: Flood - 28/07/2008,2,Weather related,3,Hydrological,10,Flood,13,,800,800,,,[]
PHL,Philippines,2008,2008-07-28,Day,2008-07-29,Day,Philippines: Storm - 28/07/2008,2,Weather related,4,Meteorological,14,Storm,21,,444,440,,,[]
CHN,China,2008,2008-07-28,Day,2008-08-08,Day,China: Storm - 28/07/2008,2,Weather related,4,Meteorological,14,Storm,21,,274300,274000,,,[]
AFG,Afghanistan,2008,2008-08-01,Month,2008-08-01,Month,Afghanistan: Flood - 01/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,180,180,,,[]
ROU,Romania,2008,2008-08-01,Month,2008-08-01,Month,Romania: Flood - 01/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,10520,11000,,,[]
SDN,Sudan,2008,2008-08-01,Month,2008-08-01,Month,Sudan: Flood - 01/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,39000,39000,,,[]
BFA,Burkina Faso,2008,2008-08-01,Month,2008-09-01,Month,Burkina Faso: Flood - 01/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,28000,28000,,,[]
IND,India,2008,2008-08-02,Day,2008-02-08,Day,India: Landslide/Wet mass movement - 02/08/2008,2,Weather related,3,Hydrological,11,Mass Movement,15,,1500,1500,,,[]
MOZ,Mozambique,2008,2008-08-03,Day,2008-03-09,Day,Mozambique: Storm - 03/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,55000,55000,,,[]
IDN,Indonesia,2008,2008-08-07,Day,2008-08-07,Day,Indonesia: Earthquake - 07/08/2008,1,Geophysical,1,Geophysical,1,Earthquake,1,,2000,2000,,,[]
CHN,China,2008,2008-08-08,Day,2008-08-11,Day,China: Storm - 08/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,500,500,,,[]
VNM,Viet Nam,2008,2008-08-08,Day,2008-08-11,Day,Viet Nam: Storm - 08/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,95000,95000,,,[]
CUB,Cuba,2008,2008-08-09,Day,2008-09-09,Day,Hurricane ike,2,Weather related,4,Meteorological,14,Storm,21,,2616000,2616000,,,[]
CUB,Cuba,2008,2008-08-11,Day,2008-11-08,Day,Cuba: Storm - 11/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,20000,20000,,,[]
PNG,Papua New Guinea,2008,2008-08-12,Day,2008-12-08,Day,Papua New Guinea: Flood - 12/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,75000,75000,,,[]
BGD,Bangladesh,2008,2008-08-16,Day,2008-08-16,Day,Bangladesh: Landslide/Wet mass movement - 16/08/2008,2,Weather related,3,Hydrological,11,Mass Movement,15,,1657,1700,,,[]
DOM,Dominican Republic,2008,2008-08-18,Day,2008-08-18,Day,Dominican Republic: Storm - 18/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,4565,4600,,,[]
HTI,Haiti,2008,2008-08-18,Day,2008-08-18,Day,Haiti: Storm - 18/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,16850,17000,,,[]
MLI,Mali,2008,2008-08-18,Day,2008-08-19,Day,Mali: Flood - 18/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,2500,2500,,,[]
CUB,Cuba,2008,2008-08-20,Day,2008-08-20,Day,Cuba: Storm - 20/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,13000,13000,,,[]
ETH,Ethiopia,2008,2008-08-20,Day,2008-08-28,Day,Ethiopia: Flood - 20/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,20000,20000,,,[]
PHL,Philippines,2008,2008-08-22,Day,2008-08-22,Day,Philippines: Storm - 22/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,3530,3500,,,[]
CHN,China,2008,2008-08-22,Day,2008-08-23,Day,China: Storm - 22/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,394,390,,,[]
CYM,Cayman Islands,2008,2008-08-26,Day,2008-08-26,Day,Cayman Islands: Storm - 26/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,715,720,,,[]
DOM,Dominican Republic,2008,2008-08-26,Day,2008-08-26,Day,Dominican Republic: Storm - 26/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,4360,4400,,,[]
HTI,Haiti,2008,2008-08-26,Day,2008-08-26,Day,Haiti: Storm - 26/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,10500,10000,,,[]
JAM,Jamaica,2008,2008-08-28,Day,2008-08-29,Day,Jamaica: Storm - 28/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,1520,1500,,,[]
MOZ,Mozambique,2008,2008-08-28,Day,2009-01-18,Day,Mozambique: Flood - 28/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,85000,85000,,,[]
CUB,Cuba,2008,2008-08-29,Day,2008-09-01,Day,Cuba: Storm - 29/08/2008,2,Weather related,4,Meteorological,14,Storm,21,,61000,61000,,,[]
CHL,Chile,2008,2008-08-29,Day,2008-09-04,Day,Chile: Flood - 29/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,23000,23000,,,[]
CHN,China,2008,2008-08-30,Day,2008-08-30,Day,China: Earthquake - 30/08/2008,1,Geophysical,1,Geophysical,1,Earthquake,1,,650000,650000,,,[]
BGD,Bangladesh,2008,2008-08-30,Day,2008-09-08,Day,Bangladesh: Flood - 30/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,57440,57000,,,[]
IND,India,2008,2008-08-30,Day,2008-09-08,Day,India: Flood - 30/08/2008,2,Weather related,3,Hydrological,10,Flood,13,,2100000,2100000,,,[]
GMB,Gambia,2008,2008-09-01,Month,2008-10-01,Month,Gambia: Flood - 01/09/2008,2,Weather related,3,Hydrological,10,Flood,13,,400,400,,,[]
ZMB,Zambia,2008,2008-09-02,Day,2008-05-01,Day,Zambia: Flood - 02/09/2008,2,Weather related,3,Hydrological,10,Flood,13,,5796,5800,,,[]
PAK,Pakistan,2008,2008-09-08,Day,2008-08-20,Day,Pakistan: Flood - 08/09/2008,2,Weather related,3,Hydrological,10,Flood,13,,200,200,,,[]
IDN,Indonesia,2008,2008-09-09,Day,2008-09-09,Day,Indonesia: Earthquake - 09/09/2008,1,Geophysical,1,Geophysical,1,Earthquake,1,,820,820,,,[]
KIR,Kiribati,2008,2008-09-12,Day,2008-12-09,Day,Kiribati: Flood - 12/09/2008,2,Weather related,3,Hydrological,10,Flood,13,,85,85,,,[]
IND,India,2008,2008-09-14,Day,2008-09-21,Day,India: Flood - 14/09/2008,2,Weather related,3,Hydrological,10,Flood,13,,2400000,2400000,,,[]
COL,Colombia,2008,2008-09-15,Day,2009-01-12,Day,Colombia: Flood - 15/09/2008,2,Weather related,3,Hydrological,10,Flood,13,,10100,10000,,,[]
BDI,Burundi,2008,2008-09-20,Day,2008-10-01,Month,Burundi: Flood - 20/09/2008,2,Weather related,3,Hydrological,10,Flood,13,,2770,2800,,,[]
PHL,Philippines,2008,2008-09-22,Day,2008-09-22,Day,Philippines: Storm - 22/09/2008,2,Weather related,4,Meteorological,14,Storm,21,,5215,5200,,,[]
NPL,Nepal,2008,2008-09-22,Day,2008-09-29,Day,Nepal: Flood - 22/09/2008,2,Weather related,3,Hydrological,10,Flood,13,,180000,180000,,,[]
NIC,Nicaragua,2008,2008-09-24,Day,2008-10-17,Day,Nicaragua: Flood - 24/09/2008,2,Weather related,3,Hydrological,10,Flood,13,,3000,3000,,,[]
VNM,Viet Nam,2008,2008-09-25,Day,2008-09-28,Day,Viet Nam: Storm - 25/09/2008,2,Weather related,4,Meteorological,14,Storm,21,,6695,6700,,,[]
VNM,Viet Nam,2008,2008-09-30,Day,2008-09-30,Day,Viet Nam: Storm - 30/09/2008,2,Weather related,4,Meteorological,14,Storm,21,,820,820,,,[]
CHN,China,2008,2008-10-01,Day,2008-02-05,Day,China: Cold wave - 01/10/2008,2,Weather related,4,Meteorological,13,Extreme Temperature,17,,827000,827000,,,[]
TZA,United Republic of Tanzania,2008,2008-10-01,Day,2008-03-31,Day,Tanzania: Flood - 01/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,442,440,,,[]
IDN,Indonesia,2008,2008-10-01,Month,2008-10-01,Month,Indonesia: Flood - 01/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,31500,32000,,,[]
IDN,Indonesia,2008,2008-10-03,Day,2008-04-03,Day,Indonesia: Flood - 03/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,5060,5100,,,[]
CAN,Canada,2008,2008-10-04,Day,2008-04-24,Day,Canada: Flood - 04/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,200,200,,,[]
IRQ,Iraq,2008,2008-10-09,Day,2008-09-11,Day,Iraq: Flood - 09/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,600,600,,,[]
KEN,Kenya,2008,2008-10-11,Day,2008-11-25,Day,Kenya: Flood - 11/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,10000,10000,,,[]
MHL,Marshall Islands,2008,2008-10-12,Day,2008-12-24,Day,Marshall Islands: Flood - 12/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,600,600,,,[]
CRI,Costa Rica,2008,2008-10-13,Day,2008-10-18,Day,Costa Rica: Flood - 13/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,2529,2500,,,[]
ATG,Antigua and Barbuda,2008,2008-10-15,Day,2008-10-16,Day,Antigua and Barbuda: Storm - 15/10/2008,2,Weather related,4,Meteorological,14,Storm,21,,45,45,,,[]
SLV,El Salvador,2008,2008-10-16,Day,2008-10-16,Day,El Salvador: Flood - 16/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,95,95,,,[]
NIC,Nicaragua,2008,2008-10-18,Day,2008-10-18,Day,Nicaragua: Flood - 18/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,13000,13000,,,[]
VNM,Viet Nam,2008,2008-10-19,Day,2008-10-20,Day,Viet Nam: Flood - 19/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,840,840,,,[]
BLZ,Belize,2008,2008-10-19,Day,2008-11-12,Day,Belize: Flood - 19/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,400,400,,,[]
HND,Honduras,2008,2008-10-19,Day,2008-11-12,Day,Honduras: Flood - 19/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,70000,70000,,,[]
GTM,Guatemala,2008,2008-10-22,Day,2008-11-01,Month,Guatemala: Flood - 22/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,10764,11000,,,[]
YEM,Yemen,2008,2008-10-23,Day,2008-10-24,Day,Yemen: Flood - 23/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,22000,22000,,,[]
MAR,Morocco,2008,2008-10-23,Day,2008-11-03,Day,Morocco: Flood - 23/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,5000,5000,,,[]
VNM,Viet Nam,2008,2008-10-27,Day,2008-11-04,Day,Viet Nam: Flood - 27/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,2000,2000,,,[]
PAK,Pakistan,2008,2008-10-29,Day,2008-10-29,Day,Pakistan: Earthquake - 29/10/2008,1,Geophysical,1,Geophysical,1,Earthquake,1,,7000,7000,,,[]
CHN,China,2008,2008-10-31,Day,2008-11-04,Day,China: Flood - 31/10/2008,2,Weather related,3,Hydrological,10,Flood,13,,25000,25000,,,[]
IDN,Indonesia,2008,2008-11-02,Day,2008-02-27,Day,Indonesia: Flood - 02/11/2008,2,Weather related,3,Hydrological,10,Flood,13,,3500,3500,,,[]
IND,India,2008,2008-11-06,Day,2008-07-21,Day,India: Flood - 06/11/2008,2,Weather related,3,Hydrological,10,Flood,13,,2055925,2056000,,,[]
THA,Thailand,2008,2008-11-09,Day,2008-09-21,Day,Thailand: Flood - 09/11/2008,2,Weather related,3,Hydrological,10,Flood,13,,1680,1700,,,[]
IDN,Indonesia,2008,2008-11-11,Day,2008-11-16,Day,Indonesia: Flood - 11/11/2008,2,Weather related,3,Hydrological,10,Flood,13,,2400,2400,,,[]
USA,United States of America,2008,2008-11-13,Day,2008-11-18,Day,United States: Wildfire - 13/11/2008,2,Weather related,2,Climatological,9,Wildfire,11,,50000,50000,,,[]
ZAF,South Africa,2008,2008-11-14,Day,2008-11-14,Day,South Africa: Storm - 14/11/2008,2,Weather related,4,Meteorological,14,Storm,21,,3500,3500,,,[]
