"code","iso","country","GHA.ind.1995","GHA.ind.1996","GHA.ind.1997","GHA.ind.1998","GHA.ind.1999","GHA.ind.2000","GHA.ind.2001","GHA.ind.2002","GHA.ind.2003","GHA.ind.2004","GHA.ind.2005","GHA.ind.2006","GHA.ind.2007","GHA.ind.2008","GHA.ind.2009","GHA.ind.2010","GHA.ind.2011","GHA.ind.2012","GHA.ind.2013","GHA.ind.2014","GHA.ind.2015","GHA.ind.2016","GHA.ind.2017","GHA.ind.2018","GHA.ind.2019","GHA.ind.2020","GHA.ind.2021","GHA.ind.2022","GHA.ind.2023","GHA.ind.2024"
275,"PSE","State of Palestine",28,28,28,28,28,28,28,28,28,17.3,6.1,4.1,13,13.1,17.3,18.1,24.7,40.2,53.1,47.6,34.4,26.1,18.7,20.8,21.7,25.9,28.9,34.6,34.6,34.6
729,"SDN","Sudan",24.6,24.6,24.6,24.6,24.6,25.8,28.3,29.6,30.7,30.4,31.1,32.3,33.1,34.7,36.3,38,41.1,42.4,42.8,42.8,42,41.8,41.3,40.7,40.4,40.8,42.6,44.3,44.3,44.3
740,"SUR","Suriname",46.1,46.1,46.1,46.1,46.1,50,49.3,56.7,62.5,66.1,68.3,66.6,64.5,58.7,51.4,40.6,24.9,23.6,19.2,16.9,22.1,25.5,35.3,46.8,51.4,52.7,46.9,44.9,44.9,44.9
752,"SWE","Sweden",49.4,49.4,49.4,49.4,49.4,51,52.3,53.2,53.5,52.9,52.3,49.3,48.1,48.5,51.2,52.1,54.4,57,59.3,61.5,62.4,61.3,59.7,59,60.3,59.6,58.4,58.1,58.1,58.1
756,"CHE","Switzerland",52.2,52.2,52.2,52.2,52.2,52.4,50.3,49.2,48.9,49,48.5,48,49.4,49.1,49.8,50.2,51.8,53.3,53.5,55.1,56,56.1,57.2,57.5,58,58.3,58.8,58.1,58.1,58.1
760,"SYR","Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"TWN","Taiwan",21.2,21.2,21.2,21.2,21.2,21.8,23,19.9,17.2,15.6,17,20.8,24.6,31,40,47,53.9,55.8,56.1,54.6,53.1,51.5,48.7,47.2,48.7,49.8,48.4,49.2,49.2,49.2
762,"TJK","Tajikistan",54.2,54.2,54.2,54.2,54.2,56.4,58,55.8,54.3,48.4,43.9,39.4,35,35.6,38.3,40.6,46.1,47.9,53.1,48.4,44,38,26.6,19.1,13.9,11.8,13.9,16.6,16.6,16.6
834,"TZA","Tanzania",38,38,38,38,38,38.4,38.5,37.4,34.8,34.1,30.7,31.3,32.6,32.4,32.6,34.1,35.7,35.6,33.3,32.9,31,31.8,33.1,34.5,35.9,36.8,37.4,38.1,38.1,38.1
764,"THA","Thailand",26.3,26.3,26.3,26.3,26.3,31.2,35.4,38.4,39.8,39.2,37.7,35,31.1,31.5,31.8,32.6,34.4,35.2,36.5,37.2,38.3,39.5,40.5,42.1,44.5,46.3,48.3,48.8,48.8,48.8
626,"TLS","Timor-Leste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,29.5,51.9,60.1,65.7,66.7,69.5,74.6,75.1,72.1,72.1,72.1
768,"TGO","Togo",31.5,31.5,31.5,31.5,31.5,28.3,28.9,29.4,28.1,30.2,29.9,32.3,37.8,38.2,31.8,29.3,30,32.1,33.1,37.8,36.1,36.5,40.4,43.3,40.3,37.3,33.6,32.1,32.1,32.1
776,"TON","Tonga",45.7,45.7,45.7,45.7,45.7,45.5,46,46.9,44.7,43,41.5,41.8,41.8,43.2,41,42.8,48.1,51,51.1,52,52.1,49.4,47.5,45.2,39.3,34.2,31.9,31.9,31.9,31.9
780,"TTO","Trinidad and Tobago",36.6,36.6,36.6,36.6,36.6,29.3,22.2,12.6,4.1,1.7,1.9,0,0,2.9,8.5,13.9,21,29.5,36,42.8,48,53.4,56.1,57.1,58.5,56.4,52.2,52.4,52.4,52.4
788,"TUN","Tunisia",37.6,37.6,37.6,37.6,37.6,38.2,35.4,34.7,33.5,33.7,34.7,35.3,35.8,35.6,35.7,34.5,35.5,36.2,38.3,39.6,40.3,42.1,43.2,43.8,45.5,47.1,45.7,43.7,43.7,43.7
792,"TUR","Turkiye",31.5,31.5,31.5,31.5,31.5,30.2,32.2,34.2,35.2,38.6,39.8,38,33.7,31.4,30.4,28.3,28.1,27.9,29,30.7,31.7,31.5,29.4,30.1,32.9,36.1,36.9,37.7,37.7,37.7
795,"TKM","Turkmenistan",51.5,51.5,51.5,51.5,51.5,50.6,43.1,38.5,28.7,19,12.8,9.6,15.7,19.8,26.5,28.5,31,36.1,36.5,35.2,35,35.6,37.9,36.9,42.7,46.8,46.8,46.8,46.8,46.8
796,"TCA","Turks and Caicos Islands",33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,36.1,39.4,39.4,39.4
798,"TUV","Tuvalu",23.8,23.8,23.8,23.8,23.8,24,18.1,14.7,15,18,24.2,33.2,44.8,43.6,42.2,47.8,47.9,47.8,47.7,47.6,47.6,47.7,47.8,47.7,47.6,47.6,47,46.8,46.8,46.8
800,"UGA","Uganda",36.9,36.9,36.9,36.9,36.9,37.2,37.5,37.3,35.8,35.9,34.7,35.5,33.9,27.2,23.5,20.5,20.2,20.9,21.9,24.5,26.5,32.8,38.4,39.2,40.2,39.9,40.2,40.2,40.2,40.2
804,"UKR","Ukraine",50,50,50,50,50,54.9,57.9,64.2,64.2,62.4,56.7,51.5,46.9,44,47.6,50.4,50.5,51.4,52,52.9,52.6,51,51.4,51.7,53.5,55.6,58.6,60.3,60.3,60.3
784,"ARE","United Arab Emirates",29,29,29,29,29,25.9,26,32.1,31,28.2,27.2,25.4,25.4,23.5,24.1,16.2,11.6,14.2,14.2,17.1,20,24.3,31.2,37.1,41,44,43.9,42.7,42.7,42.7
826,"GBR","United Kingdom",54.9,54.9,54.9,54.9,54.9,54.9,53.8,53.9,54,54.2,54.6,54.1,54.5,55.2,58.4,59.9,62.2,63.3,63.5,64.4,65,65.5,65.3,64.6,65.8,67.2,67.5,67.2,67.2,67.2
840,"USA","United States of America",42.7,42.7,42.7,42.7,42.7,42,43,44,44.9,45.5,46.3,47,47.2,48.4,51,52.2,54,56.1,56.8,56.4,56,55.9,54.7,52.7,53,54.7,54.6,55,55,55
858,"URY","Uruguay",42.8,42.8,42.8,42.8,42.8,46.9,49.8,50.5,50.5,49.6,48.5,44.9,43,38.8,35.4,37.1,38.8,40.9,43.8,45.2,46.7,46.9,49.1,48,47.2,48.6,46.9,45.3,45.3,45.3
860,"UZB","Uzbekistan",42.5,42.5,42.5,42.5,42.5,41.2,40.3,37.7,36.1,36.5,39.2,41,44.1,44,48.4,52.1,52.9,50.9,50.8,52,53.5,52.1,51.1,48.4,48.5,49.3,47.1,43.7,43.7,43.7
548,"VUT","Vanuatu",38.1,38.1,38.1,38.1,38.1,41.4,45.7,49.3,50.4,52.4,53.5,53.3,46.7,40.9,35.8,32.4,30.3,30.9,32.1,33.8,40,50.6,56.7,57.4,60.1,60.6,58.9,58.2,58.2,58.2
862,"VEN","Venezuela",34,34,34,34,34,32.5,34.7,35.8,36.7,40.4,42.6,45.9,48,44.2,45.1,42.5,45.1,42.6,39.5,41.2,44.1,48.1,51.3,53.1,53.4,50.4,50,50,50,50
704,"VNM","Viet Nam",20.4,20.4,20.4,20.4,20.4,19.8,20,20.6,21.5,20.7,20.4,20.6,20.8,21.3,21.6,22.1,23.5,26.9,29.8,29,26.3,25,25.4,24.9,19.3,14.7,12.8,16,16,16
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",28,28,28,28,28,23,20.3,19.9,19.6,18.5,17,14.9,14.5,17.4,18.7,20,25.3,35.7,38.7,43.3,51.3,52.6,51.8,52.1,53.9,57,61,63.4,63.4,63.4
894,"ZMB","Zambia",50.9,50.9,50.9,50.9,50.9,52.2,52.4,49.8,45.4,42.1,38.8,40.4,40.9,39.7,41.8,43.7,46.9,45.3,41.9,39.7,36.6,36.5,37,37.8,39.6,40.9,43.6,43.8,43.8,43.8
716,"ZWE","Zimbabwe",49.7,49.7,49.7,49.7,49.7,49,49.7,50.4,53,51.6,52.4,51.3,51.6,51.6,51.1,51.1,49.6,45.1,42.8,42.9,40.6,42.8,45.8,49.5,53.5,58.8,59.7,59.1,59.1,59.1
