"code","iso","country","SDA.ind.1995","SDA.ind.1996","SDA.ind.1997","SDA.ind.1998","SDA.ind.1999","SDA.ind.2000","SDA.ind.2001","SDA.ind.2002","SDA.ind.2003","SDA.ind.2004","SDA.ind.2005","SDA.ind.2006","SDA.ind.2007","SDA.ind.2008","SDA.ind.2009","SDA.ind.2010","SDA.ind.2011","SDA.ind.2012","SDA.ind.2013","SDA.ind.2014","SDA.ind.2015","SDA.ind.2016","SDA.ind.2017","SDA.ind.2018","SDA.ind.2019","SDA.ind.2020","SDA.ind.2021","SDA.ind.2022","SDA.ind.2023","SDA.ind.2024"
776,"TON","Tonga",47.9,47.9,47.9,47.9,47.9,53.6,50.5,51.2,37.8,33.5,33.3,43.7,57.8,70.4,69.1,81.4,100,100,100,100,100,95.8,91.8,77,63.2,60.1,67.5,67.5,67.5,67.5
780,"TTO","Trinidad and Tobago",88.2,88.2,88.2,88.2,88.2,100,100,100,100,100,100,100,100,100,100,100,86.4,100,100,100,100,100,66.1,60.4,67.5,100,84.4,90.4,90.4,90.4
788,"TUN","Tunisia",100,100,100,100,100,100,100,84.9,73.1,67.3,68.5,63.7,57.6,58.9,62.1,67.9,80,92.8,100,100,100,100,100,100,100,100,100,100,100,100
792,"TUR","Turkiye",43,43,43,43,43,42.9,47.5,54.4,66,80.3,86.5,84.8,74,65.5,59.2,55.4,52.2,54.9,67.6,78,89.8,84,69.4,55.5,43,42.2,36.4,34.7,34.7,34.7
795,"TKM","Turkmenistan",79.4,79.4,79.4,79.4,79.4,79.4,71.5,44.6,32.1,31.2,43.4,68.6,92,88.4,80.5,80.5,64.2,50.1,25.4,2.4,0,16.7,38.4,47.6,58.3,74.6,74.6,74.6,74.6,74.6
796,"TCA","Turks and Caicos Islands",69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,73.9,72.4,72.4,72.4
798,"TUV","Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,"UGA","Uganda",35.6,35.6,35.6,35.6,35.6,34.2,35,36.7,38,40.8,36.3,31,25.1,19.6,15.4,18.8,23.9,34.6,46.6,54.4,64.8,76.4,86.3,77.1,78.2,80.1,73.6,69.4,69.4,69.4
804,"UKR","Ukraine",70.8,70.8,70.8,70.8,70.8,85.2,100,100,100,100,100,97.5,79.9,68.2,66.6,65.2,62.6,58.9,49.6,53.6,71.7,75.5,76.9,80.3,100,100,100,100,100,100
784,"ARE","United Arab Emirates",64.5,64.5,64.5,64.5,64.5,60.6,41.3,24.2,12.1,3.1,0,1.5,12.6,38.1,70.7,89.6,100,100,100,100,90.2,67.6,57.1,45.5,54.8,48.6,60.6,67.3,67.3,67.3
826,"GBR","United Kingdom",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
840,"USA","United States of America",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
858,"URY","Uruguay",34.6,34.6,34.6,34.6,34.6,40.8,48.7,59.8,72.8,77.9,81.2,71.2,64.5,43.8,9,7.6,12.1,17.1,41,66,100,100,100,100,100,100,100,92.2,92.2,92.2
860,"UZB","Uzbekistan",100,100,100,100,100,100,100,100,94.5,85.5,87.6,84.1,81.3,75,81.7,92.5,100,85,68,56.8,51.9,44.5,38.6,32.7,31.8,33.4,47.7,55.6,55.6,55.6
548,"VUT","Vanuatu",41.6,41.6,41.6,41.6,41.6,43,41.3,39.2,38.4,61.6,91.1,100,100,100,84.5,69.7,47.7,22.3,1,1.9,10.8,34,41.4,48.9,49.8,59.9,67.3,69.6,69.6,69.6
862,"VEN","Venezuela",74.1,74.1,74.1,74.1,74.1,63,52.3,41.9,38,39.6,39.4,42.3,52.8,55.2,59.5,47.1,35.4,28.8,27.8,34.4,42.3,57.7,77.7,86.1,93.5,81.8,73.8,72.3,72.3,72.3
704,"VNM","Viet Nam",100,100,100,100,100,100,100,100,94.4,62.1,21.1,27.1,24.4,22,23.8,27.9,32.5,37.2,44.6,43.4,34.7,27.3,19.1,5,0,0,0,0,0,0
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",16.7,16.7,16.7,16.7,16.7,22.5,12.6,8.2,6.5,11.6,14.3,21.9,31,37.4,36.2,37.5,46.9,66.6,69.9,74.5,87.2,91.3,89.1,84.5,79.3,78.9,75.2,74.7,74.7,74.7
894,"ZMB","Zambia",100,100,100,100,100,100,100,90.9,89.9,89.6,100,100,100,100,100,100,93.1,55,40.6,38.2,92.3,100,100,100,100,100,100,100,100,100
716,"ZWE","Zimbabwe",100,100,100,100,100,100,100,100,100,100,93.3,83.3,79.5,77.4,77.5,76.6,64.3,53.1,50.1,49,46.5,52.2,62.9,83.3,100,100,100,100,100,100
