"code","iso","country","FCL.ind.1995","FCL.ind.1996","FCL.ind.1997","FCL.ind.1998","FCL.ind.1999","FCL.ind.2000","FCL.ind.2001","FCL.ind.2002","FCL.ind.2003","FCL.ind.2004","FCL.ind.2005","FCL.ind.2006","FCL.ind.2007","FCL.ind.2008","FCL.ind.2009","FCL.ind.2010","FCL.ind.2011","FCL.ind.2012","FCL.ind.2013","FCL.ind.2014","FCL.ind.2015","FCL.ind.2016","FCL.ind.2017","FCL.ind.2018","FCL.ind.2019","FCL.ind.2020","FCL.ind.2021","FCL.ind.2022","FCL.ind.2023","FCL.ind.2024"
496,"MNG","Mongolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,"MNE","Montenegro",87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,87.7,91.1,88.2,83.2,84.1,84,82.8,82.2,79.4,76.6,75.7,74.4,75,76.8,79.1,76.2,78.7,79.2,79.2,79.2
504,"MAR","Morocco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,"MOZ","Mozambique",55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,50.2,48.9,44.1,40.3,39,39.7,39.6,40.9,41.5,42,38.7,32.6,32.3,31.5,30.2,29.5,32.5,32.5,32.5
104,"MMR","Myanmar",67,67,67,67,67,67,67,67,67,67,67,62.8,58.7,57.1,52.5,49.5,49.2,46.8,43.3,40.1,37.2,32.1,29.8,29,29.4,29.1,30.1,32,32,32
516,"NAM","Namibia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,"NRU","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"NPL","Nepal",91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,90.3,88.9,89,87.2,87.1,88,85.9,88.3,90.2,93,93.6,95.5,94.6,93.9,92.6,91.3,91.7,91.7,91.7
528,"NLD","Netherlands",78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,78.5,76.2,73.3,70.7,70,66,66.2,67.2,69.5,71,78.9,77.9,76.4,74.3,70.1,66.7,63.9,64.1,64.1,64.1
540,"NCL","New Caledonia",85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,82.2,81.2,82,83.1,85.1,88.7,88.9,84.6,82.1,82.7,81.2,80.8,79.1,81.1,79.1,76.7,77.6,77.6,77.6
554,"NZL","New Zealand",57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,56.4,56,55.2,55.4,55.5,55.6,55,53.6,53.3,52.5,50.6,49.5,49,49.9,50.5,51.1,52,52,52
558,"NIC","Nicaragua",38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,39.5,36.4,34.8,29,20.7,20.4,23.9,24.7,25.3,42.1,31.5,26.1,16.2,15.9,11.6,13.7,25.2,25.2,25.2
562,"NER","Niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,"NGA","Nigeria",64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,64.1,67.7,68.7,66.1,64.1,60.5,56.1,54.4,52.3,47.1,46.1,44.2,32,26.7,25.7,22.1,20.8,24.4,24.4,24.4
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.5,69.6,65.7,64.1,63.8,66,65.9,69.1,70.1,71.6,70.4,73.9,72.4,64.9,66.1,65,65,65,65
807,"MKD","North Macedonia",76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.8,70.7,65.2,61.7,60.4,60.3,61.4,65.9,70.6,73.5,74.9,78.9,78.1,78.1,75.4,73.9,71.1,71.1,71.1
578,"NOR","Norway",74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,71.7,71.3,68.7,69.9,68.1,69.1,69.1,69.3,67.7,68.2,65.1,62.1,59.3,57.1,54.2,53.9,53.3,53.3,53.3
512,"OMN","Oman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,"PAK","Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,"PLW","Palau",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,79.9,78.6,75.7,75,76,76.3,81.2,83.4,78.7,78,77.2,76.5,75.7,96,94,94.4,95,95,95
591,"PAN","Panama",61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,61.4,57,56.6,49.9,45.8,45.2,47.4,48,53.8,59.7,61.1,63,58.8,55.2,50.5,47,45.6,48.3,48.3,48.3
598,"PNG","Papua New Guinea",80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,79,79.3,76.8,77.3,75.6,76,74.5,75.6,72.8,67.1,62.3,60,57.7,57.7,61.5,65.7,64.7,64.7,64.7
600,"PRY","Paraguay",22,22,22,22,22,22,22,22,22,22,22,21.8,15.7,12.8,9.7,6.6,1.7,1,1.4,2.2,4.8,6.6,10.4,10.6,11.3,13.8,13.9,18,18,18
604,"PER","Peru",75.4,75.4,75.4,75.4,75.4,75.4,75.4,75.4,75.4,75.4,75.4,75.4,74.4,72.2,69.9,70.6,69.4,65,62.6,62.1,61.6,59.4,58.9,58.8,58.1,56,55.8,57,57,57
608,"PHL","Philippines",61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,58.9,55.7,54.9,54,49.4,51.1,51.8,50.1,46.7,50.1,42.8,38.9,38.4,40.8,41.1,46.4,49.2,49.2,49.2
616,"POL","Poland",61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,59.7,57,55.8,55.2,56.2,54.5,54.7,56,55,57.8,54.9,51.3,46.7,45.2,43,43.6,45.3,45.3,45.3
620,"PRT","Portugal",24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,21.6,21.2,20.1,22.6,21.2,23.6,20.2,17.7,15,14.9,7.2,0,0,0,0,0,11.4,11.4,11.4
634,"QAT","Qatar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,"COG","Republic of Congo",83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,84.5,83.9,84,83.2,80.3,79.6,79.4,75.4,70.6,70.4,63.9,61.7,61.2,61.1,60,63.8,64,64,64
642,"ROU","Romania",75,75,75,75,75,75,75,75,75,75,75,75.9,71.6,69.8,70.3,70.7,70,71.2,71.6,71.1,72.5,71.5,73.7,72.6,73.8,70.8,71.9,72.1,72.1,72.1
643,"RUS","Russia",70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,72.2,72.7,73.7,75.1,73.1,72.9,70.8,71.7,68.6,65.4,64.4,65.9,66.8,65.1,64.7,64.8,63.1,63.1,63.1
646,"RWA","Rwanda",65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,69.2,67,67,65.7,60.1,59.2,60.3,56.1,51.9,52.6,47.8,44.2,40.5,41.4,39.5,39.3,39.6,39.6,39.6
652,"BLM","Saint Barthelemy",94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,94.4,93.8,94.4,89.5,89.5,90.5,87.5,88,90.3,90.3,91,93.8,96.1,96.1,96.1,96.1,96.1,96.1
659,"KNA","Saint Kitts and Nevis",64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,64.4,69.9,71.3,72.3,69.4,71,72.7,72.9,75.9,82.6,89,90.1,91.9,91.5,90.2,87.3,87.6,87.5,87.5,87.5
662,"LCA","Saint Lucia",85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,81.9,79.7,76.3,76.3,73.9,76.5,75.2,76.3,77.2,82.2,79.9,78.9,79.5,79.4,78,82.5,85.5,85.5,85.5
670,"VCT","Saint Vincent and the Grenadines",90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,88.2,87.5,83.1,82.7,77.8,76.1,75.6,77.3,79.3,87.5,89.5,88.7,88.4,87.8,87.3,88,83.9,83.9,83.9
882,"WSM","Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
674,"SMR","San Marino",91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,88.2,85.1,82.9,86.2,87.1,88,88.8,91.1,90.5,91.3,93,94.6,94.1,91.3,91.3,91.3,91.3,91.3,91.3
678,"STP","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,"SAU","Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,"SEN","Senegal",63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,65.3,64.9,54.7,53.7,51.1,48.3,51.5,48.8,44,40.6,37.5,31.3,32.7,33.6,25.6,26.8,28.6,28.6,28.6
688,"SRB","Serbia",89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,90.1,89.1,87,86.8,86.3,85.5,84.5,85.1,82.9,82.8,80.9,80.3,80,80.3,78.3,78.8,78,78,78
690,"SYC","Seychelles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
694,"SLE","Sierra Leone",68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,65.3,63,59.3,52.7,52,51,52.6,28.2,15.6,0.9,0,0,0,0,0,0,0,0,0
702,"SGP","Singapore",52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,50.3,55.1,52.6,41,43.7,43.3,41.3,41.9,41.3,40.1,32.3,24.1,14.2,12.9,11.8,9.5,18.7,18.7,18.7
534,"SXM","Sint Maarten",70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,65.2,54.4,61,56.8,61.6,61.2,71.1,71.6,76.8,80,83.3,65.5,63.9,62.3,60.7,59.1,92.4,92.4,92.4
703,"SVK","Slovakia",62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,61.6,59,55,52.4,56.5,55.2,55.2,58.7,56.2,61.3,59,56.7,52,54.6,52.1,56.3,60.1,60.1,60.1
705,"SVN","Slovenia",88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,87,84.6,82.4,81.3,82.1,81.9,83.8,85.8,80.4,80.9,75.3,70.4,62.7,64.4,61.7,64.5,67.6,67.6,67.6
90,"SLB","Solomon Islands",75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,75.8,73.6,71.8,67.5,65.9,65.6,65.1,62.7,61.8,56,52.1,47.2,43.2,41.2,40.9,42,43.2,44.9,44.9,44.9
706,"SOM","Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,"ZAF","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,"KOR","South Korea",82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,80.7,79.5,75.6,74.3,72.7,72.1,69.8,71.1,72.2,71.4,68.3,67,64.1,62.5,61.8,63,62,62,62
728,"SSD","South Sudan",86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,86.2,84.8,84.4,82.4,83.1,85,85,85.7,86.9,87.5,88.4,90.1,90,90.7,91.9,91.9,92.4,93.6,93.6,93.6
724,"ESP","Spain",62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,58.6,56.4,54.6,54.7,53.8,57.2,56.3,53.4,53.1,52.3,47.1,46.3,42.4,42.5,40.4,41,42.2,42.2,42.2
144,"LKA","Sri Lanka",83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,79.7,74.5,73.7,68,66.7,63.6,63.3,62,64.2,62.7,62.7,63.9,61.5,62.8,61.4,63.3,65.4,65.4,65.4
275,"PSE","State of Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,"SDN","Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
740,"SUR","Suriname",92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.8,92.9,93,92.1,91.5,90.4,89.7,85.4,84.9,83.3,82.1,79.8,80,78.1,77.5,76.9,77.7,78.4,78.4,78.4
752,"SWE","Sweden",48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,46,45.9,41,42.5,42.2,43.2,41.9,44.3,43.4,44.6,42.1,39.9,37.9,36.1,33.7,33.3,33.3,33.3,33.3
756,"CHE","Switzerland",81.9,81.9,81.9,81.9,81.9,81.9,81.9,81.9,81.9,81.9,81.9,81,79.8,76.7,79.2,79.9,79.8,80.7,83.5,84.7,86.2,86.6,84.9,81.1,78.1,73.5,71.3,72.3,72.3,72.3
760,"SYR","Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"TWN","Taiwan",90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,88.8,88,86.3,81.3,79.7,79.6,79.7,80.6,88.9,91.1,88.7,87.1,86.2,85.9,85,87.4,88.5,88.5,88.5
762,"TJK","Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
834,"TZA","Tanzania",58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.1,56.2,52.1,48.4,46.4,44.3,43.1,42.4,40.5,41.4,40.8,39.5,39.9,41.9,39.2,38.8,40,40,40
764,"THA","Thailand",56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,51.6,49.3,48,45.5,42.9,43.5,42.1,41.4,41.4,42.4,38.9,35.8,33.9,34.1,33.7,36,39.8,39.8,39.8
626,"TLS","Timor-Leste",68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,60.9,61,60.6,59.5,61,65.3,64,65.6,68.4,67.3,67.3,68.4,65.7,67.5,65.1,64,66.1,66.1,66.1
768,"TGO","Togo",50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,53.3,50.6,52.6,46.5,49.7,50.7,54.1,49.9,57.4,56.3,50.9,40.4,34.5,30.9,25.5,23,25.2,25.2,25.2
776,"TON","Tonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780,"TTO","Trinidad and Tobago",61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,62.4,60.5,58.2,55.9,48.6,52.8,54.3,56.3,55.5,67.3,62.6,62.4,61.8,66,64.9,70.2,72.5,72.5,72.5
788,"TUN","Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
792,"TUR","Turkiye",72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,71,71.2,70.1,69.6,70.1,70.5,69.7,70.7,71.9,70.5,70.1,69.1,67.2,65,62.5,55.9,53.4,53.4,53.4
795,"TKM","Turkmenistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,"TUV","Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,"UGA","Uganda",62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.6,57.1,52.4,51.5,50.7,45.1,46,44.8,40.6,38.5,38.2,29.3,26.1,25.5,23.9,25.2,29.7,29.7,29.7
804,"UKR","Ukraine",66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,64.4,60.5,59,59.1,57.7,56,56.7,58.5,58.5,58.8,54.6,51.8,49.2,49.3,47.3,50,53.1,53.1,53.1
784,"ARE","United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
826,"GBR","United Kingdom",58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,59.7,57.3,52.4,51.3,46.4,46.2,45.6,42.3,43.7,45,43.8,46,46.8,46.8,47.2,47.6,45.6,45.6,45.6
840,"USA","United States of America",47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,47.7,45.2,41.7,39.8,42.7,47.4,47,47.4,50.3,48.3,53.2,47.6,45.4,44.3,46.2,44.9,45,49.9,49.9,49.9
858,"URY","Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860,"UZB","Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,"VUT","Vanuatu",93.8,93.8,93.8,93.8,93.8,93.8,93.8,93.8,93.8,93.8,93.8,93.4,93.6,94.8,92.4,91.8,90.7,89.7,86.9,88.4,79.7,77.8,76.7,77.4,78,77.7,79.7,79.6,79.6,79.6
862,"VEN","Venezuela",71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,73.1,71.9,70.6,68.7,67.9,68.1,68.4,70.8,72.3,74.3,68.6,66.4,64.8,63.9,60.9,65.4,69.7,69.7,69.7
704,"VNM","Viet Nam",49,49,49,49,49,49,49,49,49,49,49,46.3,43.9,38.8,34.3,31.1,28,22.4,22.4,19.2,17.9,10.8,8.1,5.7,5.6,6.2,11,15.6,15.6,15.6
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
894,"ZMB","Zambia",71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,70.5,69.8,67.7,60.8,53.5,52.4,48.5,47.4,47.6,52.1,47.9,46.4,43.7,43.3,40.3,38.1,37.5,37.5,37.5
716,"ZWE","Zimbabwe",42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,41.7,38,38,33,34.7,40.8,36.9,36.1,40.6,39.1,37.5,31.9,32.1,32.9,33.7,33.8,45.1,45.1,45.1
