"code","iso","country","MPE.ind.1995","MPE.ind.1996","MPE.ind.1997","MPE.ind.1998","MPE.ind.1999","MPE.ind.2000","MPE.ind.2001","MPE.ind.2002","MPE.ind.2003","MPE.ind.2004","MPE.ind.2005","MPE.ind.2006","MPE.ind.2007","MPE.ind.2008","MPE.ind.2009","MPE.ind.2010","MPE.ind.2011","MPE.ind.2012","MPE.ind.2013","MPE.ind.2014","MPE.ind.2015","MPE.ind.2016","MPE.ind.2017","MPE.ind.2018","MPE.ind.2019","MPE.ind.2020","MPE.ind.2021","MPE.ind.2022","MPE.ind.2023","MPE.ind.2024"
96,"BRN","Brunei Darussalam",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,88,50,50,88.3,99.9,100,74.3,57.9,57.9,57.9,57.9,57.9
100,"BGR","Bulgaria",6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,21.3,27.4,32.3,34.6,32.9,32.5,30.1,33,33,33,33,33
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
116,"KHM","Cambodia",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
120,"CMR","Cameroon",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100
124,"CAN","Canada",41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,50.8,43.9,50.7,47.6,58.8,53.4,57.6,60.8,60.8,60.8,60.8,60.8
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,87.3,89.6,87.7,87.7,87.7,87.7,87.7
156,"CHN","China",56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,61,59.9,47.9,47.6,47.1,46.3,51.2,54.8,54.8,54.8,54.8,54.8
170,"COL","Colombia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70.5,83.8,67.8,54.2,60.1,58.5,63.8,75.6,75.6,75.6,75.6,75.6
174,"COM","Comoros",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,86.6,80.9,82.1,84.2,100,100,100,100,100,100
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,53.3,63,63.3,59.9,61.1,70.1,66.8,100,100,100,100,100
384,"CIV","Cote d'Ivoire",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.2,12.8,100,100,100,100,100,100,100
191,"HRV","Croatia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,73.5,55.3,55.3,56.1,56.1,54.8,54.4,55.3,55.3,55.3,55.3,55.3
192,"CUB","Cuba",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,26.4,26.4,26.4,26.4,26.4
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,48.7,44.7,44.2,43.9,36,40.1,33.6,36.4,36.4,36.4,36.4,36.4
203,"CZE","Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,"COD","Dem. Rep. Congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,"DNK","Denmark",20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,19.6,19.3,21.2,19.2,19.5,19.1,20.7,21.4,21.4,21.4,21.4,21.4
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"DMA","Dominica",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,98.3,59.4,78.3,78.3,78.3,78.3,78.3
214,"DOM","Dominican Republic",72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,50,5.2,65.8,53.7,50,50,67.2,50,50,50,50,50
218,"ECU","Ecuador",94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,26.9,96.3,93.4,79.1,16.6,34.5,31.5,47.8,47.8,47.8,47.8,47.8
818,"EGY","Egypt",87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,94.4,100,100,85.5,100,100,99.8,100,100,100,100,100
222,"SLV","El Salvador",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,62.6,87.5,98.8,84.4,84.2,84.2,84.2,84.2,84.2
226,"GNQ","Equatorial Guinea",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60.7,0,0,14,0,0,9.2,10.5,10.5,10.5,10.5,10.5
232,"ERI","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,"EST","Estonia",79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,69.6,70.5,66.2,68.9,72.8,72.8,69,69.3,69.3,69.3,69.3,69.3
748,"SWZ","Eswatini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,"ETH","Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,80.6,85.2,79.1,85,100,99.5,99.5,99.5,99.5,99.5
246,"FIN","Finland",79.6,79.6,79.6,79.6,79.6,79.6,79.6,79.6,79.6,79.6,79.6,79.6,79.6,79.6,79.6,79.6,79.6,79.6,71.6,68.8,69.4,68.8,67.1,66.2,62.8,64.2,64.2,64.2,64.2,64.2
250,"FRA","France",39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,36.6,42.9,43.3,43.6,44.3,42.9,45,44.1,44.1,44.1,44.1,44.1
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.4,0,28.9,61.5,68,60.3,59.6,45,45,45,45,45
270,"GMB","Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,"GEO","Georgia",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,29.3,30.7,33.5,35.2,52.1,40.2,42.6,67.3,67.3,67.3,67.3,67.3
276,"DEU","Germany",44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,40.4,37.6,38.2,38,41.2,38.1,45.4,43.2,43.2,43.2,43.2,43.2
288,"GHA","Ghana",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,53.7,100,100,100,56.7,56.7,56.7,56.7,56.7
300,"GRC","Greece",51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,51.1,45.3,42,43.4,44.4,44.3,45.4,45.8,47.2,47.2,47.2,47.2,47.2
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,21.7,100,100,100,100,100,100,100
320,"GTM","Guatemala",69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,50,0,89.6,89.5,97.6,50,99.8,20.6,20.6,20.6,20.6,20.6
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
624,"GNB","Guinea-Bissau",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
328,"GUY","Guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,"HTI","Haiti",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,65.7,51.5,89.6,83.4,6,7.6,11.1,11.1,11.1,11.1,11.1
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,"ISL","Iceland",47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,33.3,35.4,34.8,36.6,33,35.5,33,40.9,40.9,40.9,40.9,40.9
356,"IND","India",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90.2,100,100,100,100,100
360,"IDN","Indonesia",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,84.6,49,44.2,67,60.5,96.1,96.1,96.1,96.1,96.1
364,"IRN","Iran",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
368,"IRQ","Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,"IRL","Ireland",54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5,70.4,65.5,70.9,65.4,60.6,63.4,61.3,60.7,60.7,60.7,60.7,60.7
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,46.9,60.4,57.7,68.1,100,100,100,100,100,100,100,100
380,"ITA","Italy",47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,43.5,45.8,44.1,44.6,45.1,45,45.5,45.3,45.3,45.3,45.3,45.3
388,"JAM","Jamaica",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
392,"JPN","Japan",43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,28.7,29.8,33.7,32,31.9,32.9,32.1,37,37,37,37,37
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,"KAZ","Kazakhstan",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
404,"KEN","Kenya",62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,76.8,25.2,43.4,71.1,57.8,75,72,59.9,59.9,59.9,59.9,59.9
296,"KIR","Kiribati",51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,51.5,47.8,39,99.8,96.5,85.5,88.9,100,100,100,100,100,100
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,85.9,100,100,100,100,100,100
417,"KGZ","Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,"LAO","Laos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,"LVA","Latvia",49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,37.9,38.8,39.1,41.6,41.5,41.1,41.2,37.2,37.2,37.2,37.2,37.2
422,"LBN","Lebanon",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,92.1,100,100,99.3,100,100,50,50,50,50,50,50
426,"LSO","Lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,"LBR","Liberia",70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,92.2,64.8,100,100,100,100,100,100,100,100,100,100
434,"LBY","Libya",98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,100,100,100,84,69.2,96.9,59.7,41.3,41.3,41.3,41.3,41.3
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,47.5,52.7,55.5,53.9,53.7,56.1,64.1,68.8,68.8,68.8,68.8,68.8
442,"LUX","Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,"MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,53.9,81.9,100,95.7,82.2,59.6,55.2,55.2,55.2,55.2,55.2
454,"MWI","Malawi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,"MYS","Malaysia",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,78.7,51.6,39.8,41.7,41.7,77.6,88.1,86.1,86.1,86.1,86.1,86.1
462,"MDV","Maldives",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,81,96.3,32.3,41.8,43.1,26.8,26.8,26.8,26.8,26.8
466,"MLI","Mali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,"MLT","Malta",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,45.9,46.7,45.5,36.1,31.8,33.3,38.6,36.8,36.8,36.8,36.8,36.8
584,"MHL","Marshall Islands",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
478,"MRT","Mauritania",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
480,"MUS","Mauritius",70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,70.8,100,79.5,73.9,66.1,32.7,30.9,36.7,1.7,1.7,1.7,1.7,1.7
484,"MEX","Mexico",43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,43.1,59.7,33.6,29.8,46.6,48.5,51.3,51.3,53.7,53.7,53.7,53.7,53.7
583,"FSM","Micronesia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70.4,60.9,74.8,88.5,88.5,88.5,88.5,88.5
498,"MDA","Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,"MCO","Monaco",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,0,50,50,0,0,0,0,0,0
496,"MNG","Mongolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,"MNE","Montenegro",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,87.1,88.2,75.1,75.1,75.1,75.1,75.1
504,"MAR","Morocco",82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,100,100,100,100,100,91.1,100,100,100,100,100,100
