"code","iso","country","RMS.ind.1995","RMS.ind.1996","RMS.ind.1997","RMS.ind.1998","RMS.ind.1999","RMS.ind.2000","RMS.ind.2001","RMS.ind.2002","RMS.ind.2003","RMS.ind.2004","RMS.ind.2005","RMS.ind.2006","RMS.ind.2007","RMS.ind.2008","RMS.ind.2009","RMS.ind.2010","RMS.ind.2011","RMS.ind.2012","RMS.ind.2013","RMS.ind.2014","RMS.ind.2015","RMS.ind.2016","RMS.ind.2017","RMS.ind.2018","RMS.ind.2019","RMS.ind.2020","RMS.ind.2021","RMS.ind.2022","RMS.ind.2023","RMS.ind.2024"
36,"AUS","Australia",45.5,50.3,54.9,58.4,60,60.8,59.3,58.2,57.7,58.7,60.6,65,69.4,73.8,76.3,77.6,76.4,74.3,71.5,69,66.6,64.8,62.5,59.9,57.2,57.2,57.2,57.2,57.2,57.2
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",53,56.4,58.2,58.1,56.2,52.9,49.1,46,44,43.3,43.9,45.7,47.1,47.8,47.8,46.9,45.5,44.5,44.3,44.9,46.4,49,51.7,54.2,56,56,56,56,56,56
48,"BHR","Bahrain",41.2,37.4,32.7,28.9,27.1,31.2,42,56,69.7,80.9,84.7,81.6,68.3,53,32.9,18.7,12.3,8.9,11.3,23,34.6,46.2,60.4,72.5,75.8,75.8,75.8,75.8,75.8,75.8
50,"BGD","Bangladesh",42,41.7,41.6,41.7,42.1,42.7,43.4,43.9,44.3,44.4,44.3,44.3,44.5,44.7,44.2,43.2,42.1,40.8,39.7,39.8,40.8,42.4,44.6,47.3,49,49,49,49,49,49
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",49.2,49.1,50.3,52.4,54.2,54.8,54.3,52.3,48.9,45,42.3,40.4,39.6,40.2,42.4,44.5,47.1,49,50.4,50.5,50.6,50.5,50.4,50.4,51.4,51.4,51.4,51.4,51.4,51.4
84,"BLZ","Belize",54.5,59.2,62.7,65.5,66.8,66.4,65.4,64.3,62.9,61.9,62.1,62.5,62.7,62.9,62.5,61.4,60.4,59.3,58.1,57,56.6,56,55.6,55.6,55.6,55.6,55.6,55.6,55.6,55.6
204,"BEN","Benin",32.3,33,35,37.4,39.6,40.2,40.7,41,42.2,43.9,46.3,48.4,49.4,48.9,46.5,42.4,37.9,33.6,31.1,30.2,30.6,31.5,32.7,32.5,30.3,30.3,30.3,30.3,30.3,30.3
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",47.3,31.7,23.9,18.6,17.4,23.3,38.7,50.5,65.1,80.7,94.2,98.3,100,97.1,87.9,80,75.8,71.5,64.5,58.1,46.8,30.5,10.9,3.8,4.5,4.5,4.5,4.5,4.5,4.5
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",62.3,63.8,64,62.8,60,56.3,51.1,45.3,40,36,33.7,33.5,35.3,38.6,42.8,46.7,48.9,49.3,48.6,46.9,45.6,45.2,45.9,46.8,48.4,48.4,48.4,48.4,48.4,48.4
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",40.1,43.9,47.1,46.9,46.8,47.6,47.3,45.5,43.2,39.7,35.3,30.7,28.5,27.3,27.4,28.8,32,34.6,37.2,38.6,40.7,42.5,43.9,46,50.1,50.1,50.1,50.1,50.1,50.1
100,"BGR","Bulgaria",83.1,82.9,76.6,67.3,58.6,53.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",44,38.8,32.8,29.7,27.1,27.7,29,33.3,38.1,43.7,49.7,56.4,60,63.2,64.6,63.6,61.1,58,52,45.4,38.6,32.1,23.9,17.6,14.8,14.8,14.8,14.8,14.8,14.8
116,"KHM","Cambodia",24.2,27.9,30.9,33.9,36.2,37.1,37.6,37.8,38,38.5,40,42.7,47.2,55.4,66,78.3,89.9,99.4,100,100,94.2,84.6,73.2,61.5,52,52,52,52,52,52
120,"CMR","Cameroon",6.8,2.4,4.4,11.1,20.4,28.4,35.5,39.7,41.6,41.9,42.3,41.5,40.2,38.3,36.1,32.8,29.9,28.1,27.9,28.9,31.3,33.3,33.4,31.7,28.8,28.8,28.8,28.8,28.8,28.8
124,"CAN","Canada",64.4,72.2,79.4,83.9,85.1,83,78.4,72,64.8,57.8,53.3,51.1,51,51.8,52.8,53.2,53.1,52.2,50.9,49.1,48.2,47.7,47.8,48.3,49.4,49.4,49.4,49.4,49.4,49.4
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",49.6,48.3,46.7,47.5,50.7,54.6,58,60.6,61.8,60.6,59.6,58.5,56.8,55.8,56.3,57.7,60.1,63.2,65,64.7,64.3,63.1,61.4,59,55.2,55.2,55.2,55.2,55.2,55.2
156,"CHN","China",47,49.3,51.1,52.9,54,54.4,54.4,54.3,53.3,52.2,50.8,49.3,48,47.1,46.6,46.3,46.2,46.2,46.1,45.8,45.5,45.3,45.4,45.6,46,46,46,46,46,46
170,"COL","Colombia",44.8,47.7,52.3,55,59,64.5,66.3,67.4,70.3,68.9,65.2,62.7,59.4,54.9,52.6,51.9,53.2,57.1,60.1,62.4,64.5,65,61.9,59.3,55.5,55.5,55.5,55.5,55.5,55.5
174,"COM","Comoros",48.6,47,45.8,45.1,45.1,45.5,46.4,47.2,47.7,47.9,47.8,47.3,47.7,48.8,50.5,52.6,54.7,56.2,57,57.2,56.7,55.6,54.4,53.1,51.8,51.8,51.8,51.8,51.8,51.8
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",74.7,78.1,77.6,72.7,60.7,45.7,31.3,20.3,18.9,23.7,28.8,34.1,40.2,47.4,50,50,50,50,50,50,50,50,50.2,53.2,56,56,56,56,56,56
384,"CIV","Cote d'Ivoire",28.5,30.7,33.8,38.7,41.5,43.1,43.9,44.5,44.3,44.3,44.8,46.6,48.4,50,50.7,49.4,45.7,41.5,37.3,33,29.8,28.5,28.6,29.2,31,31,31,31,31,31
191,"HRV","Croatia",56.5,56.1,55.6,58.5,63.4,71.6,82.5,93.8,98.2,97,88.3,74.5,59.2,47.6,39.5,37.1,39.1,44.2,48.8,52.1,51.9,48.9,43.9,39.1,33.8,33.8,33.8,33.8,33.8,33.8
192,"CUB","Cuba",64.2,67.6,68.6,67.1,64.4,59.7,54.5,50.7,49,49.5,53.6,59.2,64.1,67.6,69.9,69.1,66.6,63.7,60.2,56.8,55.7,56.7,58.8,61.4,63.7,63.7,63.7,63.7,63.7,63.7
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",58.8,41.8,24.4,16.8,14.7,21.8,39,63.8,89.6,100,100,100,100,100,100,94.2,80.1,66.3,62,36.9,3.7,0,0,0,0,0,0,0,0,0
203,"CZE","Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,"COD","Dem. Rep. Congo",48.6,45.8,42.6,38.8,34.7,30.5,26.3,22.6,20.1,19.3,20.2,22.7,26.6,31.3,36.4,41.5,45.8,48.9,51,52.3,53,53,52.9,52.3,51.3,51.3,51.3,51.3,51.3,51.3
208,"DNK","Denmark",49,50.7,52,52.9,54.2,56.2,58.2,58.5,56.4,53.5,49.7,46.6,44.5,45.6,50,57.9,69.6,80,84.4,83.7,78.4,68.9,56.9,45.8,36.6,36.6,36.6,36.6,36.6,36.6
262,"DJI","Djibouti",46.5,62,71.5,73,69.5,59.5,46.1,33.4,24.2,18.4,16.2,18.6,19.3,17.3,15.4,13.5,13.3,14.8,19.5,24.8,30.6,34.3,37.2,37.8,38.8,38.8,38.8,38.8,38.8,38.8
212,"DMA","Dominica",43.6,42.6,42.5,43,42.8,41.6,39.9,37,33.9,32.3,32.4,33.7,37,41,43.8,45.9,47.3,47.2,46.5,45,42.2,39.4,37.4,36.6,37.6,37.6,37.6,37.6,37.6,37.6
214,"DOM","Dominican Republic",45.4,46,48.2,51.6,54.5,56.8,59.5,59.3,57.7,56.2,54.6,52.5,52,52.9,53.9,54.6,55.4,55.6,55.4,55.5,55.7,55.7,56,55.7,54.6,54.6,54.6,54.6,54.6,54.6
218,"ECU","Ecuador",83.6,79.4,72.5,63.9,56.1,52.1,48.1,48.8,53,57.8,59.9,63.3,61.5,57.1,52.1,48.6,43.1,41.5,41.2,40.4,39.7,41.8,42.4,42.8,43.2,43.2,43.2,43.2,43.2,43.2
818,"EGY","Egypt",12.8,14.2,17.4,23.5,28.5,30.6,32.1,33.4,32.4,31.2,32,33.3,34.1,35.7,37.4,36.9,35.6,35.5,36.1,38.7,45,52.7,58.9,62.9,64.9,64.9,64.9,64.9,64.9,64.9
222,"SLV","El Salvador",45.3,41.9,39.3,37.3,36.8,37.2,39.3,42.4,46.4,50.9,55.3,58.4,60.4,59.9,58,53.7,48.8,43.5,40.2,37.8,38.1,40.7,44.8,49.3,55.3,55.3,55.3,55.3,55.3,55.3
226,"GNQ","Equatorial Guinea",48.7,40.2,36.5,36,35.3,35.8,37.9,40.1,44.7,51.1,58,63.4,68.8,70.2,67.9,63.3,59.6,57.2,57.4,63,72.8,83.4,90.3,96.7,97.4,97.4,97.4,97.4,97.4,97.4
232,"ERI","Eritrea",50.3,54,58.4,61.3,62.7,61.7,59.2,55.1,52.3,50.8,50.9,51.2,52.7,53.1,51.9,49.3,48.2,46.8,46.3,47.9,51.2,54.6,57.2,58,57.1,57.1,57.1,57.1,57.1,57.1
233,"EST","Estonia",70.7,69.1,65.6,61.6,57.9,55.3,53.6,53.7,56.2,60.7,66.1,71.4,75.3,75.6,72.7,68.4,62.4,55.7,50,45.3,40.2,36.3,33.8,30.7,27.7,27.7,27.7,27.7,27.7,27.7
748,"SWZ","Eswatini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,"ETH","Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",39.5,37.2,37.2,38.6,42.5,45.6,48.2,50,51.7,50.6,50.1,49.7,49.9,49.3,50.1,48.9,47.5,45.1,43.9,43.2,44.9,47.8,50,51.7,51.6,51.6,51.6,51.6,51.6,51.6
246,"FIN","Finland",55.4,51.3,46.8,42.6,39.9,39.8,42.7,47.7,55.3,63.6,70.9,75.2,75.8,72.7,66.9,59.4,51.4,43.7,37,31.9,28.4,25.7,24.4,24.1,25.6,25.6,25.6,25.6,25.6,25.6
250,"FRA","France",41.3,43.2,44.5,45.8,46.5,47.4,48.3,49.1,49.6,50.1,49.9,49,48.8,49.9,51.5,53.6,56.1,57.6,57,55.5,52.9,49.4,46.2,44.6,44.7,44.7,44.7,44.7,44.7,44.7
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",62.9,64.2,63.5,59.9,56.6,54,52.4,51.2,51.2,51.8,52,51.4,50.3,47.4,44.2,41.5,40,40.4,44.3,50.2,57.6,64.5,70.4,72.3,70.5,70.5,70.5,70.5,70.5,70.5
270,"GMB","Gambia",19.4,41.9,69.4,95.3,100,100,100,100,100,77.5,41.8,15.2,0,0,0,1.7,15.7,31.4,46.3,57.4,67.4,73.2,76.8,78.5,78.9,78.9,78.9,78.9,78.9,78.9
268,"GEO","Georgia",91.7,83.2,72,59.4,48.4,40.3,36.4,36.4,40.2,43.4,45.2,45.3,44.8,43.5,41.8,39.6,37.4,36,34.3,31.8,29.8,28,26.1,22.3,17.9,17.9,17.9,17.9,17.9,17.9
276,"DEU","Germany",71.4,72.7,72.7,72.1,70.5,68.6,65.8,63.5,61.7,61.1,61,61,60.3,59.5,59.3,60.6,62.5,64.2,64.9,64.9,63.5,60.9,57.6,54.4,52.8,52.8,52.8,52.8,52.8,52.8
288,"GHA","Ghana",44.9,45.2,48,50.5,49.4,47.1,46.7,44.8,43.2,43.3,44.5,44.1,46.3,48.7,49.5,49.2,49.9,48.9,46.7,44.4,41.8,38.2,35.4,34.3,35.8,35.8,35.8,35.8,35.8,35.8
300,"GRC","Greece",40.5,40.4,39.8,39.8,41.4,44.2,48.6,53.6,58.4,61.5,63,63,61.5,59.8,59,59.3,61.3,64.9,68.9,72.6,75.7,77.5,77.9,76.4,73.6,73.6,73.6,73.6,73.6,73.6
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",31.7,35.5,39.2,44.9,51.2,56.4,59.1,60.1,58.1,54.8,50.9,48.2,46,46.6,47.2,48.6,48.1,48.3,46.8,45.4,41.3,36.7,31.4,27.6,24.6,24.6,24.6,24.6,24.6,24.6
320,"GTM","Guatemala",44.8,47,46.2,44.4,41.5,40.6,42,45.9,48.9,53.3,56.1,57.1,58.5,60.5,63.5,66.4,68.4,68.1,66.1,62.9,59.7,57.5,55.2,54.4,54.8,54.8,54.8,54.8,54.8,54.8
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",48.9,46.3,42.2,36.8,32.9,28.3,22.7,20.1,21.4,25.1,31.8,41.2,49.3,53.6,54.6,52.5,49.6,47.6,47.4,48.6,52.3,54.9,55.3,53.3,48.7,48.7,48.7,48.7,48.7,48.7
624,"GNB","Guinea-Bissau",90.5,99.6,100,100,91.3,77.3,62.3,49.6,39.7,36.7,36.2,37.9,39.4,39.7,40.1,35.9,28.2,21.4,19.3,18.4,18.4,20.3,21.5,20.6,19.5,19.5,19.5,19.5,19.5,19.5
328,"GUY","Guyana",46.4,44.3,42,40.3,39.9,41.5,43.8,47.1,49.7,51.6,52.1,51.9,51.4,52.1,53.2,55.4,58.3,60.8,61.8,62.7,62.8,61.2,59.6,58.8,57.8,57.8,57.8,57.8,57.8,57.8
332,"HTI","Haiti",51.9,53.4,54.6,55.5,55.9,55.8,55.5,55.2,54.8,54.4,54,53.7,53.3,53.2,53.4,53.9,54.3,54.5,54.4,53.7,52.3,50.9,49.4,48.1,47.2,47.2,47.2,47.2,47.2,47.2
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",71.7,73.3,70.5,64.3,59.1,55.4,52.2,51.1,53.6,54.3,53.1,54.1,55.2,56.1,58.7,61.6,63.3,64.3,64,56.5,44.9,33.7,24.5,18,18.3,18.3,18.3,18.3,18.3,18.3
344,"HKG","Hong Kong",6.5,8.1,13.9,25.6,41.4,63.3,100,100,100,100,100,100,100,100,97.5,63.9,51.8,41.3,29.6,14,0,0,0,0,3,3,3,3,3,3
348,"HUN","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,"ISL","Iceland",54.2,58.7,63.2,65.9,65.7,62.5,56.8,49.9,42.6,36,32.1,31.9,34.8,40.4,47.5,54.2,59.4,62.9,64,62.8,60,56.1,52.2,49.3,48.1,48.1,48.1,48.1,48.1,48.1
356,"IND","India",26.7,26.8,28,29,31.5,34.3,37.5,40.1,43.6,46.3,48.9,50.9,52.4,51.2,49,45.2,40.7,35.8,32.8,31.3,31.7,33.1,35.9,38.9,40.8,40.8,40.8,40.8,40.8,40.8
360,"IDN","Indonesia",50.8,54.6,55.9,55.3,53.3,50.6,47.8,44.8,42.5,40.8,40.5,41.1,42.6,44.8,47.6,50.2,51.9,52.4,51.3,48.3,44.1,39.9,35.9,33,31.1,31.1,31.1,31.1,31.1,31.1
364,"IRN","Iran",25.9,27.5,28.4,29.4,31.2,33.9,37.2,42.1,47.2,50.3,51.3,49.5,46.5,43.3,41.6,42.6,45.3,48.5,50.7,50.6,47.6,41.7,34.7,26.7,20.2,20.2,20.2,20.2,20.2,20.2
368,"IRQ","Iraq",28.2,0,0,0,0,0,0,0,0,0,18.2,54.9,91.3,100,100,100,98.8,78.7,60.7,46,36.9,34.1,44.9,49.5,47.1,47.1,47.1,47.1,47.1,47.1
372,"IRL","Ireland",36,39.3,41.6,41.4,40.6,40.8,43.1,48,55.1,63.3,67.6,67,62.2,54.1,46.4,42.1,43,47.9,56.6,64.6,70.2,70.3,65.8,58.6,52,52,52,52,52,52
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",44.1,49.2,52.1,53.9,53.8,51.8,48,44.5,41.4,38.6,37.4,38.5,39.7,41.6,45.3,51.2,57.4,65.3,73.8,81.1,85.2,87,85.5,81.1,75.5,75.5,75.5,75.5,75.5,75.5
380,"ITA","Italy",61.8,61,60,58,56.6,56.1,56.4,57.5,59.7,62.1,64.3,66,67.4,68.1,68.1,67.3,66.6,66,66.2,67.1,68.3,68.6,67.8,66,63.1,63.1,63.1,63.1,63.1,63.1
388,"JAM","Jamaica",51.7,49.5,47.6,46.4,45.8,47,49.1,51.3,53.1,54.5,54.4,52.8,50.9,49.1,47.4,46.1,46,46.5,46.8,47.5,48.3,48.4,48,47.9,47.5,47.5,47.5,47.5,47.5,47.5
392,"JPN","Japan",59.8,59.6,57.5,55,52.3,49.7,48.6,49.6,51,52.8,54.5,54.9,53.2,51.1,49.2,47.7,46.9,48.1,50,51.5,52.8,54.5,55.8,56.8,58.4,58.4,58.4,58.4,58.4,58.4
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",2.9,0,0,0,9.6,18.8,26.8,33.3,37.9,40.9,43.4,45.9,47.9,49.7,49.4,49.2,48.2,46.2,42.9,39.9,36,32.8,30.1,28.1,26.1,26.1,26.1,26.1,26.1,26.1
398,"KAZ","Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,"KEN","Kenya",66.3,66.5,65.4,63.6,63.5,65.6,67.6,70.2,71.8,70.5,66.1,60.8,53.1,44.5,36.6,30.5,24.4,20.9,18.9,18.3,18.4,19.9,20.7,21.3,21.4,21.4,21.4,21.4,21.4,21.4
296,"KIR","Kiribati",4.3,4.6,7.5,9.6,14.1,15.7,13.9,12.5,12.6,13.8,19.9,31.5,44.9,54,58.7,62.1,60.3,51,44.3,35.5,25.8,17.3,17.8,18,16.4,16.4,16.4,16.4,16.4,16.4
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",49.2,53.1,55.6,57.9,59.8,62,63.5,65,66,66.6,64.3,60,54.8,51.1,48.5,47,47,48.6,51.2,54.7,58.7,61.2,62.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6
417,"KGZ","Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,"LAO","Laos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,"LVA","Latvia",26.1,26.5,29.2,34.2,39.6,44.4,48.3,50.5,50.3,48.1,45.2,42.3,40.1,39,39.8,41.6,43.3,45.5,47.9,49.3,50.1,50.9,52.3,52,51,51,51,51,51,51
422,"LBN","Lebanon",30.7,27,22.8,19.3,16.3,16,17.2,21.1,26.3,32.3,36.2,40,43.3,46.5,50.1,55.4,60.9,66.2,70.8,74,74.1,72,68.5,64.4,60.2,60.2,60.2,60.2,60.2,60.2
426,"LSO","Lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,"LBR","Liberia",40.7,48.4,54.7,58.5,58.9,56.5,53.2,50.6,48.5,47.9,47.5,47.6,47.1,45.8,43.7,41.2,37.4,34.8,34.8,36.9,40.1,45.3,48.5,48.6,45.7,45.7,45.7,45.7,45.7,45.7
434,"LBY","Libya",43.1,45.2,46.2,46.5,46.6,46.8,47.5,49.6,52.8,56.7,60.9,64.9,67.5,67.8,65.2,59.8,52.3,44.1,37.2,33,32.3,34.8,39.1,44,48,48,48,48,48,48
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
