"code","iso","country","NXA.ind.1995","NXA.ind.1996","NXA.ind.1997","NXA.ind.1998","NXA.ind.1999","NXA.ind.2000","NXA.ind.2001","NXA.ind.2002","NXA.ind.2003","NXA.ind.2004","NXA.ind.2005","NXA.ind.2006","NXA.ind.2007","NXA.ind.2008","NXA.ind.2009","NXA.ind.2010","NXA.ind.2011","NXA.ind.2012","NXA.ind.2013","NXA.ind.2014","NXA.ind.2015","NXA.ind.2016","NXA.ind.2017","NXA.ind.2018","NXA.ind.2019","NXA.ind.2020","NXA.ind.2021","NXA.ind.2022","NXA.ind.2023","NXA.ind.2024"
360,"IDN","Indonesia",15.1,15.1,15.1,15.1,15.1,19.5,23.6,27.6,31.4,31.1,26.6,18.9,6.3,0,0,0,0,0,0,0,2.1,15.7,24.6,28.4,32.1,42.3,44.6,38.9,38.9,38.9
364,"IRN","Iran",41.9,41.9,41.9,41.9,41.9,45.8,45.9,45,46,45,44.7,43.7,42.3,43.8,40.9,44.2,46.8,45.3,44.1,41.9,43.7,50.7,56.3,61.8,63.5,74,83.5,80.1,80.1,80.1
368,"IRQ","Iraq",35.7,35.7,35.7,35.7,35.7,57.2,89,100,100,100,98.7,94.5,83.5,80,71.6,57.2,34.9,10.2,0,0,0,0,0,2.3,8,22.8,41.1,51.1,51.1,51.1
372,"IRL","Ireland",65.8,65.8,65.8,65.8,65.8,65,64,62.2,63.6,64.3,65.6,67.2,74.9,86.3,100,100,100,100,100,100,100,100,100,92.1,86.8,92.5,100,100,100,100
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,53.7,60.2,66,69.1,73.2,75.7,68.1,64.4,53.4,52.2,52.1,29.6,15.4,5.8,4.5,10.2,23,38.4,46.4,46.4,46.4
380,"ITA","Italy",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,86.5,74.7,72.5,76.2,88.3,100,100,100,100,100,100,100
388,"JAM","Jamaica",0,0,0,0,0,0,21.9,35.3,41.2,61.2,75.2,90.4,100,100,100,100,100,100,89.1,75.5,75.7,72.9,69.5,62,54,67.1,68.9,77.5,77.5,77.5
392,"JPN","Japan",92,92,92,92,92,87.7,84.3,82.7,84,87.5,90.6,94,96.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",33.8,33.8,33.8,33.8,33.8,38.9,43.5,43.9,48.1,55.9,57.3,65.3,72.8,85.3,97.5,92.9,67.6,41.2,21.8,2.2,0,0,7.3,30.6,62,100,100,100,100,100
398,"KAZ","Kazakhstan",83.7,83.7,83.7,83.7,83.7,100,100,100,100,100,71.9,50.8,36.5,25.1,24.3,31.5,36.5,44.6,48.9,58.4,65.9,65.4,66.4,62.6,65.2,65.6,59,55.5,55.5,55.5
404,"KEN","Kenya",48.6,48.6,48.6,48.6,48.6,38,34.5,34.9,42.2,45.8,45.5,41.6,40.8,34.4,23.4,9.3,3,6.5,13.8,20.5,26.5,29.1,34,37.9,37.1,40.2,40.4,45.1,45.1,45.1
296,"KIR","Kiribati",38.9,38.9,38.9,38.9,38.9,22.9,16.1,0,0,0,0,0,0,0,16.5,37.8,71.5,98.3,100,100,100,100,94.8,75.2,72.9,74.2,79.8,89.9,89.9,89.9
689,"XKX","Kosovo",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
414,"KWT","Kuwait",17,17,17,17,17,17,17,14.7,15.5,15.2,13,18.3,29,33.5,29.1,30.4,34,40,42.2,50.8,53.4,55.7,55.6,55.1,48.5,47.4,45.4,44.9,44.9,44.9
417,"KGZ","Kyrgyzstan",73.1,73.1,73.1,73.1,73.1,78.6,92,94.9,77.6,86.9,96.1,84.2,64.8,47.6,27.9,24.9,18.6,7.9,0,2.2,13.8,29.6,52.3,74.1,100,100,100,100,100,100
418,"LAO","Laos",49.1,49.1,49.1,49.1,49.1,47.7,39.6,31.2,24.8,15.3,7,1.8,0,7.8,20,27.5,29.8,30.3,30.8,25,14.2,0,0,0,0,0,0,16.6,16.6,16.6
428,"LVA","Latvia",83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,74.3,65.8,60.3,63.5,70.3,77.9,83.2,89,89.8,88.7,89.2,94.1,100,100,100,100,100,100,100,100
422,"LBN","Lebanon",0,0,0,0,0,0,0,14.1,23.9,42.1,57.4,75.8,100,89.5,66.5,50.5,35,16.6,0,0,0,0,0,3.8,18.4,41,68,68,68,68
426,"LSO","Lesotho",45.5,45.5,45.5,45.5,45.5,36.2,29.9,23.3,21.5,19,18.5,21.9,17.4,16.4,10.7,0.4,0,0,0,0,9.4,23.1,26.2,28.5,28.7,31.7,31.7,29.6,29.6,29.6
430,"LBR","Liberia",30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,28,24.2,21.2,23.5,20.4,13.7,7.3,5.2,9.6,18.5,21.3,25.3,26.8,26.8,26.8
434,"LBY","Libya",50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,46.6,40.2,54.6,53.3,50.9,50.3,56.7,61.1,67.2,68,67.6,67.4,74.6,75.6,75.6,75.6
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",100,100,100,100,100,100,100,100,100,100,100,100,97.5,74.3,71.9,72.7,75.1,74,80.4,83.2,76.1,71.2,69.4,63.9,68.1,72.4,76.9,78.2,78.2,78.2
442,"LUX","Luxembourg",100,100,100,100,100,100,76.9,58.9,42.6,23,14.7,16.6,27.5,46,66.6,85.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100
446,"MAC","Macao",7.4,7.4,7.4,7.4,7.4,10.9,17.9,26.6,38.3,39.5,44.9,49.3,65.8,88.8,100,100,100,100,100,100,99,73.4,67.9,71.2,68.3,84.4,74.8,70.2,70.2,70.2
450,"MDG","Madagascar",47.8,47.8,47.8,47.8,47.8,42.4,40.9,46.9,48.3,46.3,41.6,36.5,35.6,35,39.4,35.5,30,31.4,30.7,30.9,32.8,30.4,27.6,26.4,26.6,31.1,29.2,24.9,24.9,24.9
454,"MWI","Malawi",62.9,62.9,62.9,62.9,62.9,56.2,52.5,46.8,46.6,43.1,38.1,34.5,33.7,32.8,37.6,35,39.7,43.9,45.9,50,52.9,56.3,55.2,49.9,45.7,39.5,37.6,35.3,35.3,35.3
458,"MYS","Malaysia",22.3,22.3,22.3,22.3,22.3,34,42.4,46.9,50.1,50.5,47.3,40.5,29.9,24.4,26.5,25.8,26.7,28.7,28.3,25.9,28,32.9,35.9,38.3,45,51.5,59.4,68.6,68.6,68.6
462,"MDV","Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,20,38.5,44.7,60.5,62.8,68.7,61.2,58.8,48.9,40.6,43,52.2,58,58,58
466,"MLI","Mali",44.1,44.1,44.1,44.1,44.1,35,27.4,21.3,18.6,16.5,16.3,14.2,13.8,13.3,11.7,6.3,2.3,0.8,3,7.7,12.5,16.1,19.1,21.4,19.7,21.5,24.2,26.3,26.3,26.3
470,"MLT","Malta",64,64,64,64,64,83.9,100,100,100,100,96.9,89,71.5,62.8,57,63,69.4,71.9,82.3,100,100,100,100,100,100,100,100,100,100,100
584,"MHL","Marshall Islands",61.3,61.3,61.3,61.3,61.3,66.6,68.1,67.9,66.6,65.3,67.9,67.1,72.5,72.8,74.3,71.4,75,71.3,79.6,87.1,100,100,100,100,100,100,100,92.5,92.5,92.5
478,"MRT","Mauritania",53.6,53.6,53.6,53.6,53.6,72.3,87.9,100,100,100,100,100,77.3,56.7,20.1,21.6,20.7,17.7,24.1,24.5,22.1,20.3,19.1,13.4,9.6,11.7,14.6,14.4,14.4,14.4
480,"MUS","Mauritius",41.3,41.3,41.3,41.3,41.3,55.4,67,80.3,86.7,86.7,79,69.2,64,60.4,53.4,54.4,54.9,58.2,59.2,57.7,55.5,53.6,54.2,60,63.8,72.6,78.3,77.7,77.7,77.7
484,"MEX","Mexico",60.2,60.2,60.2,60.2,60.2,59.3,57.3,56.9,55.1,51.2,52.3,53.4,54.1,54.2,58.3,59.5,61.4,66,71,81.6,90.7,96,100,100,100,100,100,100,100,100
583,"FSM","Micronesia",54.4,54.4,54.4,54.4,54.4,44.6,31.5,27.1,30.3,38,63,100,100,100,100,99.8,100,100,100,91.8,89.5,92.8,100,100,91.1,90,88.5,81.6,81.6,81.6
498,"MDA","Moldova",94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,84.1,72,58.4,38.9,39,40.8,43.7,48.7,51.3,55.7,57.3,59.7,64,63,66.4,66.8,62.3,60.3,60.3,60.3
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",73.2,73.2,73.2,73.2,73.2,70.5,66.6,63.2,63.4,62.7,62.8,56.7,50.1,41.5,37.2,34.7,33.6,32.7,38.7,44.5,56,61.7,63.8,61.9,59.1,58.3,56.8,54.4,54.4,54.4
499,"MNE","Montenegro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,77.6,93.2,100,100,100,100,100,100,100,100
504,"MAR","Morocco",37.4,37.4,37.4,37.4,37.4,40.9,42.9,43.4,44.2,40.4,36.8,35.2,35.7,36.1,37.1,37.3,34.9,34.7,38.8,40.7,42.4,44.9,46.4,48,48,51.6,49.2,63.8,63.8,63.8
508,"MOZ","Mozambique",47.2,47.2,47.2,47.2,47.2,51.6,61.6,61.8,52.9,48.3,43.4,41.4,46.2,45.6,42.8,45.5,48.4,46.4,37.8,24.8,9.7,0,0,0,0,0,0,4.1,4.1,4.1
104,"MMR","Myanmar",16.1,16.1,16.1,16.1,16.1,19,29.2,38.6,44.3,30.2,33.4,35.6,35.2,39.9,44.9,48.4,56,55.8,51,24.6,16.1,2.8,0,0,0,0,0,0,0,0
516,"NAM","Namibia",0,0,0,0,0,1.7,3.1,14.5,26.3,36.6,42.1,41.8,45.6,44.6,44.1,47.7,42.2,45,48.3,50.5,48.6,51.9,59.7,65.8,69,73.2,75.1,74.9,74.9,74.9
520,"NRU","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"NPL","Nepal",35.4,35.4,35.4,35.4,35.4,36.9,39,42.2,45.6,46,48.6,50.3,51.6,50.6,48.6,45.6,42.8,34,22.3,11.4,8.6,3.3,0.3,2.6,11.5,17.6,26.8,32.6,32.6,32.6
528,"NLD","Netherlands",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",51,51,51,51,51,47.6,44.4,39.4,36.3,36.5,36.9,39.9,43.1,50.5,60.2,68.2,76.3,79.9,77.5,75.9,70.3,69.4,66.8,65.1,66.3,74.9,68.9,65.6,65.6,65.6
558,"NIC","Nicaragua",0,0,0,0,0,0,0,0,0,5.8,20.9,36.9,47.8,58.9,61.6,61.3,58.4,56.2,58,56.4,54.3,52.7,50.2,55.7,57.9,66.4,67.5,68.1,68.1,68.1
562,"NER","Niger",41,41,41,41,41,42.6,44.2,46.2,45,43.9,43,42.7,39.1,34.1,27.3,22.6,21.4,14.5,8.1,4.3,3,7.6,15.4,25.6,31.8,37.4,46.4,48.2,48.2,48.2
566,"NGA","Nigeria",43.9,43.9,43.9,43.9,43.9,47.3,42.4,31.9,26.1,28.3,29.6,33.9,38.9,45.3,53.6,55.6,54.7,53.3,39,26.5,19.7,15.4,18.2,18.4,22.7,31.4,41,53.6,53.6,53.6
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"MKD","North Macedonia",70.4,70.4,70.4,70.4,70.4,84.3,100,100,100,100,100,100,100,100,100,87.8,71.7,64.5,77,91.7,100,100,100,100,100,100,100,100,100,100
578,"NOR","Norway",51.4,51.4,51.4,51.4,51.4,52.2,57.4,63.8,67.5,72.4,77.6,77.3,72.1,69.2,67.5,64.5,63,64,65.4,67.7,69.1,72.9,75.5,80.1,94,95.8,96.8,98.6,98.6,98.6
512,"OMN","Oman",39.5,39.5,39.5,39.5,39.5,45.2,39.4,31.8,26.8,26.8,36.3,35.2,30.5,30.6,29,27.3,20.5,9.7,1.1,0,6.6,11.5,16.4,25.4,39.3,56.8,67.4,73.9,73.9,73.9
586,"PAK","Pakistan",25,25,25,25,25,27.9,33.1,32.5,27.8,23.9,20.5,18.8,19.4,23.7,25.1,33.9,44.3,51.8,53.5,52.6,51.8,48.2,44.3,45.5,45.8,45.3,44.7,47.2,47.2,47.2
585,"PLW","Palau",81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,99.7,95,90.3,77.2,84.7,89.4,80.8,79.7,74.2,69.5,69.5,70.3,70.3,70.3,70.3
591,"PAN","Panama",13.7,13.7,13.7,13.7,13.7,21.1,19,22.1,22.1,26,26.9,30.8,40.2,41.4,38.5,36.5,27.5,31.4,33.1,36.5,34.4,32.5,41,59.9,53.9,61.2,63.7,67.5,67.5,67.5
598,"PNG","Papua New Guinea",27.7,27.7,27.7,27.7,27.7,25.9,18.5,6.4,0,0,0,0,1.1,14.6,36.6,58.2,90.7,100,100,84.5,64.4,52.1,40.8,31.6,25.5,28.1,47,54,54,54
600,"PRY","Paraguay",5.7,5.7,5.7,5.7,5.7,22.1,40.4,57.1,66.7,74.3,81.6,93.4,97.3,92.3,73.5,63.7,54.1,45.5,36.7,29.3,25.6,21,16.9,16.9,18.6,21,20.8,23.2,23.2,23.2
604,"PER","Peru",28.3,28.3,28.3,28.3,28.3,28.7,41.4,52.5,62.5,64.9,68.2,72.1,74.8,67.5,55.2,42.7,36.4,34.3,32.9,29.4,29.7,34.4,42.9,48.4,49.7,58.2,62.7,65.8,65.8,65.8
608,"PHL","Philippines",7.2,7.2,7.2,7.2,7.2,12.7,28.1,42.5,57,72.3,89.6,97,90.2,82.4,78.4,68.5,64.6,60.9,53.8,43.5,32.8,26.3,15.7,11.3,9.9,15.8,23.4,32.8,32.8,32.8
616,"POL","Poland",91.2,91.2,91.2,91.2,91.2,100,100,100,100,100,100,93,76.6,70.7,67.2,65,65.9,73.7,86.9,99.7,100,100,93.6,98.5,100,100,100,100,100,100
620,"PRT","Portugal",52.9,52.9,52.9,52.9,52.9,55.1,57.6,55.8,60.4,64.7,66.5,80.5,100,100,100,100,100,100,100,88.1,75.7,76.8,90,100,100,100,100,100,100,100
634,"QAT","Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,10.1,15.4,25.1,35.2,47.4,56.7,56.7,56.7
178,"COG","Republic of Congo",100,100,100,100,100,95.6,75.9,70.5,54.4,47.8,26.4,6.5,3.3,0,0,0,0,0,0,0,0,0,0,22.5,39.6,55.9,66.5,68.8,68.8,68.8
642,"ROU","Romania",79,79,79,79,79,85.6,88.5,83.8,85.5,83.1,84.5,76.5,68.7,67.1,90.9,100,100,100,100,100,100,100,100,100,98.2,100,92,86,86,86
643,"RUS","Russia",72,72,72,72,72,84.9,96.5,100,100,92.6,87.6,79.1,81.7,80.4,84.2,84.6,78.9,72.5,70.4,70.5,73.5,75.6,79.5,77.8,75.5,76.4,69.2,65.1,65.1,65.1
646,"RWA","Rwanda",66.1,66.1,66.1,66.1,66.1,59.6,53.7,48.4,47.9,45.6,48.1,49.9,48.8,47.4,43.8,43,38.7,35,34,35.1,34.6,36.3,37.4,39.3,41.4,48.5,47.7,46.2,46.2,46.2
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",35.4,35.4,35.4,35.4,35.4,29.1,19.1,12.7,4.1,0,0,2.1,17,33,54.3,50.9,49.2,47.2,41.8,34.7,31.6,38.5,47.9,58.2,65.4,70.4,74.7,74.8,74.8,74.8
662,"LCA","Saint Lucia",38.4,38.4,38.4,38.4,38.4,31,21.6,14,10.2,5,0.5,2.9,14.1,25.6,45,41.1,40.9,48.3,47.9,49.3,49.7,54.6,61.4,65.8,71.2,70.7,72.6,75,75,75
670,"VCT","Saint Vincent and the Grenadines",0,0,0,0,0,0.5,5.2,7.5,29.1,23.9,14.8,18.3,22.7,21.5,12.6,24.9,40.5,47.6,56.7,60,62,68.2,76.9,84.4,73,73.2,85,78.5,78.5,78.5
882,"WSM","Samoa",42.8,42.8,42.8,42.8,42.8,39.1,35,27.1,18.6,15,13.1,18.4,28.9,42.6,61.7,74.5,85.2,92.8,94.3,86,73,65.6,64.2,62.2,64.1,72.1,76.3,79.3,79.3,79.3
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.1,0.2,4.4,8.8,8.8,7.6,10.3,13,14.7,18.5,18.7,17.7,17.7,17.7
682,"SAU","Saudi Arabia",38.9,38.9,38.9,38.9,38.9,44.3,50.9,55.1,55.9,55,55.3,53.2,50.4,42.2,31.2,20,10.7,4.7,4.6,4.1,5.8,13.1,24.8,38.7,50,59.6,64.8,65.4,65.4,65.4
686,"SEN","Senegal",34.2,34.2,34.2,34.2,34.2,30.3,26.9,23.9,28.3,28.7,29.8,32.2,33,31.3,26.4,23.7,19.5,18.5,24.3,23.8,20.8,20.5,28.2,34.9,39,43.3,45.4,44.9,44.9,44.9
688,"SRB","Serbia",100,100,100,100,100,100,100,100,100,100,96.9,83,70.7,57.7,63.9,73.4,79.9,87,89,100,100,100,100,100,100,100,100,100,100,100
690,"SYC","Seychelles",23.8,23.8,23.8,23.8,23.8,10,0,0,0,0,0,0,0,17.3,41.8,47.1,49,53.7,68.8,58.6,48.2,30.4,25,17,4.1,1.9,6.2,5.7,5.7,5.7
694,"SLE","Sierra Leone",70.2,70.2,70.2,70.2,70.2,80.4,67.3,70.4,74.5,76,74.5,64.6,58.6,51.4,41.1,45.3,39.3,32,23.5,15.1,11.2,2,0,2.3,7.8,17.8,25.7,30.6,30.6,30.6
702,"SGP","Singapore",40.5,40.5,40.5,40.5,40.5,48.9,57.4,67.4,83.8,92.3,96.2,100,100,100,100,81.1,63.3,56.7,64.8,74.6,83.7,92.1,100,100,100,100,98.8,85.5,85.5,85.5
534,"SXM","Sint Maarten",97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,65.3,64,69,68,68,68
703,"SVK","Slovakia",65.6,65.6,65.6,65.6,65.6,65.6,65.6,70.3,77.9,83.6,81.7,86.2,88.7,87.9,97.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
705,"SVN","Slovenia",100,100,100,100,100,100,100,100,100,100,100,100,100,81.3,88.4,93.8,95,93.2,94.6,98.9,100,100,100,100,100,100,100,100,100,100
90,"SLB","Solomon Islands",56.9,56.9,56.9,56.9,56.9,55.5,50.8,41.5,32.2,34.4,35.9,42.4,49.9,58.6,78.6,99.3,100,100,100,100,93.7,78,69.9,63,63.8,69.2,78.5,90,90,90
706,"SOM","Somalia",51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8
710,"ZAF","South Africa",43.6,43.6,43.6,43.6,43.6,43.5,37.3,34,32.5,30.5,30.3,32.1,32.8,32.7,43.7,51.1,53.6,55.7,56.7,55.5,59,64.4,67.7,69,80.9,85,91.1,97.5,97.5,97.5
410,"KOR","South Korea",28.5,28.5,28.5,28.5,28.5,38.6,43.9,47.1,44.5,44,46.7,51.2,58.2,79.4,100,100,100,100,100,100,100,94.9,84.4,82.6,89.3,100,100,100,100,100
728,"SSD","South Sudan",18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,55.7,55.4,55.4,55.4
724,"ESP","Spain",65.8,65.8,65.8,65.8,65.8,67,68.6,66.6,67.7,66.4,65.8,68.2,70.1,83.4,100,100,100,100,100,99.5,81.3,94.2,100,100,100,100,100,100,100,100
144,"LKA","Sri Lanka",12.3,12.3,12.3,12.3,12.3,11.9,15.6,15.6,18,22,29.7,30.9,34.3,38.2,43.7,42,41.4,39.3,41.7,41.3,40.1,37.1,36.9,39.4,44.7,49.8,52.3,54.2,54.2,54.2
275,"PSE","State of Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,"SDN","Sudan",49.5,49.5,49.5,49.5,49.5,42.6,37.1,29.8,29.1,21.9,15.2,6.5,1.6,0.5,2.6,13.3,23.2,29.1,37.6,44.8,43.6,34,29.9,27.2,28.2,38.2,41.9,41.2,41.2,41.2
740,"SUR","Suriname",60.9,60.9,60.9,60.9,60.9,83.1,98.7,100,100,100,85.3,72.8,71.8,63.2,51,45.9,41.1,32.4,20.8,14.1,0,0,20.4,50,63.5,69,74.3,72.1,72.1,72.1
752,"SWE","Sweden",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
756,"CHE","Switzerland",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
760,"SYR","Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"TWN","Taiwan",40.8,40.8,40.8,40.8,40.8,48.9,57.2,63.7,70.4,79.4,92.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
762,"TJK","Tajikistan",76.8,76.8,76.8,76.8,76.8,89.6,93.3,77,65.3,49.6,40.4,30.3,13.4,0,0,5.6,11.4,9.7,14.5,17.7,25.2,32.1,32.3,27.7,25.9,25.6,24.2,22.7,22.7,22.7
834,"TZA","Tanzania",45.6,45.6,45.6,45.6,45.6,44,45.2,44.7,43.8,31.9,19.6,9.8,8.8,14.4,25,30.9,34.1,30.6,28.5,19.6,11,7.5,14.4,22.1,34.2,48.6,54,52.7,52.7,52.7
