"code","iso","country","FSS.ind.1995","FSS.ind.1996","FSS.ind.1997","FSS.ind.1998","FSS.ind.1999","FSS.ind.2000","FSS.ind.2001","FSS.ind.2002","FSS.ind.2003","FSS.ind.2004","FSS.ind.2005","FSS.ind.2006","FSS.ind.2007","FSS.ind.2008","FSS.ind.2009","FSS.ind.2010","FSS.ind.2011","FSS.ind.2012","FSS.ind.2013","FSS.ind.2014","FSS.ind.2015","FSS.ind.2016","FSS.ind.2017","FSS.ind.2018","FSS.ind.2019","FSS.ind.2020","FSS.ind.2021","FSS.ind.2022","FSS.ind.2023","FSS.ind.2024"
44,"BHS","Bahamas",72.7,68.8,67.3,69.2,75.7,78.7,66.3,65.3,57.9,62.3,58.3,61,61.5,61.8,66,64.7,66.6,65,64.4,62.3,61.5,61.2,61.2,60.5,59,59,59,59,59,59
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",100,100,100,100,100,100,100,100,100,100,98.2,98.2,100,100,98.2,98.2,93.5,92.1,89.7,89.7,88.6,89.7,89.7,89.7,88.6,88.6,88.6,88.6,88.6,88.6
52,"BRB","Barbados",13.2,16.2,17.4,22,23.2,19.9,18.4,16,15.4,14.9,14.5,13.1,15.9,13.7,14.7,11.8,10.8,10.9,13,13.5,10.4,7.3,8,8.2,6,6,6,6,6,6
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",54.2,53.8,48.5,50.3,41.6,43.6,42.7,52.8,55.8,63.6,60.1,59.4,58.3,59.6,57.8,58,60.1,62,63,62,61,58.1,58.5,60.2,58.6,58.6,58.6,58.6,58.6,58.6
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",100,96.5,98.2,98.2,96.5,96.5,100,92.1,92.1,90.9,93.5,94.9,94.9,94.9,94.9,93.5,96.5,84.7,76.3,70.9,100,100,74.7,71.8,61.5,61.5,61.5,61.5,61.5,61.5
116,"KHM","Cambodia",93.5,93.5,93.5,93.5,92.1,92.1,90.9,80.1,78.1,74.7,78.1,72.7,62.9,49.2,38.6,33.6,35,27.8,26.2,19.1,20.4,19.3,23,23.3,23,23,23,23,23,23
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",7.3,7.4,5.3,2.9,1.8,0,1.4,2.8,6.2,9.7,9.3,9.1,6.9,7.4,5.3,4.7,3.4,2.2,0.1,0,0,0,0,0,0,0,0,0,0,0
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",27.6,28.6,29.1,26.2,23.2,21.9,28.5,27.9,30.1,27.8,31.2,32.7,36.8,39.2,41,31,29.7,29.7,42.3,16.7,14.3,0,9.7,9.4,22.7,22.7,22.7,22.7,22.7,22.7
156,"CHN","China",78.1,78.1,71.8,68.8,66.6,70.9,71.3,71.8,70.9,68.8,66.3,64.1,61.8,60.5,58.8,59,59.7,60,60.2,59.7,59.5,59.5,58.8,58.1,57.5,57.5,57.5,57.5,57.5,57.5
170,"COL","Colombia",14,22.2,23.3,10.3,22.4,21.6,19,29,5.9,10.8,14.7,2.5,4.6,4.1,4.4,8.1,7.8,0,0,6.3,6.1,1.2,0,0,0,0,0,0,0,0
174,"COM","Comoros",100,100,100,100,100,96.5,100,86.6,100,100,100,100,100,100,100,100,100,100,100,70.5,57.9,55.2,50.5,58.3,64.1,64.1,64.1,64.1,64.1,64.1
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",44.4,41.6,40.7,42,62.6,42.1,26,25.4,24.3,41.2,41.2,77.5,32.7,24.9,19.3,19,19.2,22.4,24.9,23.2,21.8,22,20.1,17.1,18,18,18,18,18,18
384,"CIV","Cote d'Ivoire",45.4,38.6,39.5,43.4,46.9,43.5,38.1,38.5,39.6,41.1,41.1,38.7,38,39,44.7,51.2,55.8,54.1,53.9,52,54.3,51.7,51.1,38.5,28.4,28.4,28.4,28.4,28.4,28.4
191,"HRV","Croatia",52.2,49.3,49.9,49.5,50,50.3,48.1,49.9,49.9,54.7,58.1,63.2,64.1,62.6,60.5,60,59.5,59.3,59.3,59.5,62.3,65,61.2,60,61.5,61.5,61.5,61.5,61.5,61.5
192,"CUB","Cuba",63.2,52.5,46,44.6,49.9,54.7,53.7,47.4,43.2,42.9,43.6,39.9,36.7,33.4,32.4,33.1,33.8,34.7,33.6,41.1,51.7,51.2,49.7,38.7,31.4,31.4,31.4,31.4,31.4,31.4
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",60.5,52,53.7,51.7,66,41.8,38.5,26.5,27.6,22.4,23.9,22.4,26.5,23.3,22.7,8.9,2.3,0,0,0.4,3.9,13.1,12.6,12.2,10.9,10.9,10.9,10.9,10.9,10.9
203,"CZE","Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,"COD","Dem. Rep. Congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,"DNK","Denmark",38.2,36,44.3,40.1,44.4,32.4,32.4,28.3,35.9,34.5,36.7,35.4,23.8,17.2,14,9.5,5.8,3.3,12.7,19.3,20.9,26.9,29.9,30.7,27.3,27.3,27.3,27.3,27.3,27.3
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"DMA","Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,"DOM","Dominican Republic",100,100,100,100,100,100,96.5,90.9,85.6,81.5,81.5,82.3,82.3,83,83,80.8,76.9,75.2,74.1,80.1,83,87.6,83.9,84.7,86.6,86.6,86.6,86.6,86.6,86.6
218,"ECU","Ecuador",13.7,14.2,19.6,4.4,5.2,4.8,1.5,8.7,3,6.6,2.4,8.9,6.8,12.4,3.8,0,0,6.2,7.8,17,23.1,24.8,12.1,3.2,0,0,0,0,0,0
818,"EGY","Egypt",72.5,72.4,80.2,71.8,73.7,72.7,74.5,59.9,47.8,43.3,49.6,64.1,80.5,73.5,63.1,58.6,56.9,56.6,55.1,53.2,49.5,48.8,54.6,51.2,41.9,41.9,41.9,41.9,41.9,41.9
222,"SLV","El Salvador",58.8,56.4,64.4,25.3,11.8,1.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,"GNQ","Equatorial Guinea",32.9,32.8,46.1,43.1,30.2,31.1,31.6,51.4,56.4,29.7,30.2,30.2,57.5,58.1,61.2,39.7,23.1,18.9,17.8,24.5,16.9,20.6,18.4,14.8,7.2,7.2,7.2,7.2,7.2,7.2
232,"ERI","Eritrea",49.2,48.8,30.8,39.8,46.9,49.9,48.5,47.7,49.2,45.4,36.9,16.9,10.8,0,0,0,8.2,11.3,15.9,15.8,15.7,16.6,18.9,22.9,28.4,28.4,28.4,28.4,28.4,28.4
233,"EST","Estonia",50.5,44.1,38.8,40.8,40,39.6,41.1,41,45.5,50.2,55.8,56.6,59.5,67,73.6,80.1,79.4,78.1,77.5,76.3,69.2,66.6,66,70.5,73.2,73.2,73.2,73.2,73.2,73.2
748,"SWZ","Eswatini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,"ETH","Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",78.7,70.9,56.4,48.6,42.2,40.2,43,45,50.3,46.1,48,50.2,54.7,55.8,58.1,53.9,44.1,33.8,29.7,33.6,40.1,47.7,40.6,36.7,33.9,33.9,33.9,33.9,33.9,33.9
246,"FIN","Finland",60,70,66.6,71.8,71.3,69.2,69.2,70.5,75.2,81.5,85.6,87.6,87.6,90.9,92.1,88.6,85.6,82.3,81.5,83.9,78.7,80.8,80.1,84.7,80.8,80.8,80.8,80.8,80.8,80.8
250,"FRA","France",27,29.8,30.3,31.7,34.9,41.4,44.5,37.8,35.7,33.4,33.1,31.9,26.9,25.6,22.8,23,25.1,27.4,27,24,26.3,24.9,25,22.7,20,20,20,20,20,20
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",68.5,61.2,56.6,54.3,64.4,62.6,62.9,52,52.4,47.4,53,54.3,57.2,58.3,58.8,54.1,50.5,37.1,28,28.5,36.7,43.3,43.5,38.7,37.2,37.2,37.2,37.2,37.2,37.2
270,"GMB","Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,"GEO","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,"DEU","Germany",39.3,35.8,28.4,35.5,38.1,39.3,33,25.7,27.9,26.6,26.6,21.1,18.8,12,10,8.2,13.1,14.3,15.3,13.7,10.8,5.7,5.7,4.2,0,0,0,0,0,0
288,"GHA","Ghana",46.2,59.5,62.3,62.6,54.8,53.2,53,53,48.1,46.1,43.2,40.7,40.5,42.2,40.8,37.1,35.1,38.1,40.7,45.8,49.7,54.1,53,49.7,45,45,45,45,45,45
300,"GRC","Greece",86.3,95.1,82.8,82.2,79.5,71.2,67.4,72.1,80.4,80,69.2,61.1,54.7,52.8,48.9,45.8,42.3,30.5,29.2,25.2,26.3,23.7,22.4,26.2,30.2,30.2,30.2,30.2,30.2,30.2
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,"GTM","Guatemala",84.7,50.3,49.9,48.5,79.4,42,31.1,32.8,38.2,54.5,38.1,44.8,43.1,59.3,68.8,70.9,98.2,100,44.7,37.9,36.2,56.2,100,49.2,32.3,32.3,32.3,32.3,32.3,32.3
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",75.7,88.6,90.9,83.9,78.1,68.5,61.2,53.4,51.2,52.9,55.6,59.5,58.6,56.2,52.9,53.9,55.4,59,60,61.8,60.5,53.4,55,54.3,55.4,55.4,55.4,55.4,55.4,55.4
624,"GNB","Guinea-Bissau",34.9,31.3,27.9,26.4,28.7,34.4,38,39,36.3,36.3,37.8,39,39.6,41.1,43.3,46.7,43.5,36.9,28.5,28.3,33.6,33.2,37.2,39,49.2,49.2,49.2,49.2,49.2,49.2
328,"GUY","Guyana",55.4,60.2,66.6,68.8,100,77.5,78.1,72.2,62.6,59,65.3,63.5,63.8,54.7,57.5,55.4,59.5,57,57,54.7,56.4,54.1,53.9,51.6,50.9,50.9,50.9,50.9,50.9,50.9
332,"HTI","Haiti",82.3,100,80.1,78.7,77.5,76.3,78.1,81.5,83.9,87.6,90.9,93.5,93.5,92.1,93.5,64.1,60.2,56,58.8,53.9,49.6,48.4,51.7,51.3,47.1,47.1,47.1,47.1,47.1,47.1
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",71.3,75.2,71.3,71.3,73.2,74.7,76.3,65.6,65,62.6,36.5,23.3,18.1,25,31.4,43.6,46.4,74.7,69.6,64.4,61.8,61.5,62.3,44.8,29.2,29.2,29.2,29.2,29.2,29.2
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,"ISL","Iceland",80.8,83.9,85.6,84.7,83.9,79.4,76.3,75.7,78.7,74.1,71.3,66.6,62.3,45.6,17.4,17.9,23.7,51.2,44,35.5,32.2,29.7,28.6,27.6,39,39,39,39,39,39
356,"IND","India",89.1,88.9,88,87.9,88,87.8,84.6,83.6,83.7,84.5,83.2,76.6,75.5,76,82.6,84.1,83,80.9,79.4,78.8,79.6,80.2,80.3,79.7,81.3,81.3,81.3,81.3,81.3,81.3
360,"IDN","Indonesia",88.4,87.9,89.7,91.1,91.5,96.3,96.3,91.4,90.2,89.2,92.2,86.3,80.6,75.4,70.1,64.1,59.4,56.4,53.9,53.3,55,57.4,58.9,59.2,60.3,60.3,60.3,60.3,60.3,60.3
364,"IRN","Iran",94.7,93.8,94.3,91.7,92.3,88.8,67.8,60.7,58.3,60.7,61.8,60.1,57.1,52.8,51.8,55.5,61.1,66.5,63.8,67,74.1,77.4,77.4,76.2,76.5,76.5,76.5,76.5,76.5,76.5
368,"IRQ","Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,"IRL","Ireland",80.1,80.8,64.4,55.8,49.7,49.3,50.6,53.2,54.5,58.1,58.3,58.1,56,54.8,53.9,41.2,37,35.3,42.6,42.5,40.8,34.2,30.3,22.2,14.6,14.6,14.6,14.6,14.6,14.6
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,"ITA","Italy",31.8,33,30.8,33.7,33.5,31.5,32.5,32.8,32.3,27.6,22.2,18.4,17.7,19.8,21.4,20.8,14.1,10.9,11,12.8,13.6,13.7,13.8,13,11.3,11.3,11.3,11.3,11.3,11.3
388,"JAM","Jamaica",86.6,87.6,83,80.1,71.8,66.6,66.6,70.9,81.5,80.8,44.6,30.8,30.2,42,83,82.3,82.3,43.3,30.3,22.4,22.3,23.2,23.1,22.7,20.6,20.6,20.6,20.6,20.6,20.6
392,"JPN","Japan",38.8,28.4,24,22.8,25.2,24.4,31.9,35.9,43,45.4,44.9,42.9,41.7,39.8,39.3,32.6,29.8,25,24,19.7,15.7,18.7,26.2,49,49.8,49.8,49.8,49.8,49.8,49.8
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,"KAZ","Kazakhstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,"KEN","Kenya",37.4,38.1,36.8,28.1,20.8,19.9,18,23.5,25.8,38,37.1,35.1,33.8,36.1,50.6,64.1,78.7,75.2,72.7,70.9,66.3,63.5,66,71.8,78.7,78.7,78.7,78.7,78.7,78.7
296,"KIR","Kiribati",100,100,100,100,100,82.5,82.6,84.8,82.5,69.2,67.5,67.5,70.9,75.7,80.5,79.3,79.9,82.9,89.2,93.6,96.4,93.1,90.3,92.7,94.1,94.1,94.1,94.1,94.1,94.1
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,"KGZ","Kyrgyzstan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,"LAO","Laos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,"LVA","Latvia",84.7,85.6,88.6,89.7,88.6,88.6,88.6,90.9,44.1,31.1,31.2,31.6,33.6,26.2,33.1,43.2,92.1,90.9,42.6,28.7,29.8,30.7,35.2,30.1,34.4,34.4,34.4,34.4,34.4,34.4
422,"LBN","Lebanon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,"LSO","Lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,"LBR","Liberia",60.7,64.1,62,62,56.4,52.5,50.2,54.8,60.5,57.9,56.2,55.8,60.7,62.6,64.4,65.3,64.1,48.6,42.4,37.3,39.8,38.2,38.8,41.3,49,49,49,49,49,49
434,"LBY","Libya",48.1,48.6,48.5,49.9,50.2,52.2,53.6,57.5,60.5,60.7,56,55.4,56.6,59,60,50.6,46.3,44.9,51.4,47.6,47.4,48.8,58.6,56.6,56.2,56.2,56.2,56.2,56.2,56.2
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,"LUX","Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,"MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",94.9,96.5,96.5,94.9,93.5,90.9,92.1,93.5,93.5,94.9,94.9,93.5,89.7,90.9,93.5,94.9,93.5,86.6,53.9,41.5,34.2,36.4,39,36.5,33.1,33.1,33.1,33.1,33.1,33.1
454,"MWI","Malawi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
