"code","iso","country","SPI.ind.1995","SPI.ind.1996","SPI.ind.1997","SPI.ind.1998","SPI.ind.1999","SPI.ind.2000","SPI.ind.2001","SPI.ind.2002","SPI.ind.2003","SPI.ind.2004","SPI.ind.2005","SPI.ind.2006","SPI.ind.2007","SPI.ind.2008","SPI.ind.2009","SPI.ind.2010","SPI.ind.2011","SPI.ind.2012","SPI.ind.2013","SPI.ind.2014","SPI.ind.2015","SPI.ind.2016","SPI.ind.2017","SPI.ind.2018","SPI.ind.2019","SPI.ind.2020","SPI.ind.2021","SPI.ind.2022","SPI.ind.2023","SPI.ind.2024"
686,"SEN","Senegal",46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.5,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,47.2,48.5,48.9,50.3,50.3,50.3,56,56,56,56,78.2
688,"SRB","Serbia",14.6,15.1,23.6,23.7,23.7,23.9,30.5,30.5,30.8,30.9,32.2,33.4,34.5,35.3,36,36,38.6,39.3,40.4,44.4,46.6,46.7,52.8,54.1,54.9,55,55.9,55.9,55.9,55.9
690,"SYC","Seychelles",9.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,18.7
694,"SLE","Sierra Leone",36.2,36.2,36.2,36.2,37.2,37.2,37.2,42.6,43.4,43.4,43.4,43.4,43.4,43.4,43.4,52.8,52.8,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,67.8
702,"SGP","Singapore",63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2
534,"SXM","Sint Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,"SVK","Slovakia",11.1,11.1,11.2,11.3,11.4,11.4,13,13,16.9,89.9,90.6,90.7,90.8,91.3,91.5,91.7,93.8,94,94,94,94,94.5,94.7,94.9,94.9,94.9,95.2,95.2,95.2,95.8
705,"SVN","Slovenia",3.9,3.9,3.9,4.3,4.4,4.4,4.4,7.3,7.4,24,24,24.1,24.1,24.1,24.1,24.2,24.2,90.6,91.6,93.3,93.9,93.9,93.9,93.9,94,94,94,94,94,94
90,"SLB","Solomon Islands",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.8,0.8,0.8
706,"SOM","Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,"ZAF","South Africa",22,22.3,23.5,24.4,24.7,25.1,26,26.1,26.1,26.1,26.2,26.3,26.4,26.5,26.6,26.7,26.8,27.2,27.6,28.6,28.9,31.9,32.1,33.4,33.9,34.4,34.6,34.8,34.8,34.8
410,"KOR","South Korea",2.2,2.3,2.4,2.5,2.9,6.8,6.8,9.8,9.9,13.3,18.1,19.4,20.2,25,25.6,26,26.4,26.5,27,27.1,27.2,27.3,27.4,27.9,53,54.4,54.4,54.4,54.4,54.4
728,"SSD","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
724,"ESP","Spain",1.8,1.8,2.2,2.7,2.9,5.8,7.6,7.6,8.7,9.8,10.9,17.1,17.5,18.1,18.6,32.6,33.5,40.1,42.9,53.2,70.8,71.8,74,74,74.3,74.4,74.4,74.4,74.4,75.1
144,"LKA","Sri Lanka",14.8,14.8,14.8,14.8,14.8,20.5,20.5,20.8,20.8,20.8,20.8,20.8,21.8,22.4,30.9,31.3,31.6,33.4,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.2
275,"PSE","State of Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,"SDN","Sudan",13.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,22,22.1,22.1,22.1,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
740,"SUR","Suriname",10.2,10.2,10.2,55.9,55.9,55.9,55.9,56,56,56,56,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,58.3
752,"SWE","Sweden",2.1,2.2,2.2,2.3,2.3,2.5,3,3.1,3.3,3.6,4.1,4.4,5.1,6.8,45.1,46,62.2,63.3,66.1,67.7,68.3,70.9,77.1,81.6,83.2,83.7,84.8,84.9,84.9,84.9
756,"CHE","Switzerland",20.1,21.6,21.6,21.9,21.9,21.9,25.2,25.2,25.8,25.8,25.9,25.9,26.1,26.1,26.3,32.7,32.7,32.7,32.7,32.8,32.8,32.8,35.5,35.5,35.5,35.7,36.2,36.2,36.2,42.9
760,"SYR","Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"TWN","Taiwan",17.9,17.9,18.8,18.8,18.8,35.8,35.8,35.8,35.8,35.8,35.9,37.2,37.2,37.2,37.3,37.3,37.3,37.3,37.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4
762,"TJK","Tajikistan",10,10,10,10,32.5,32.5,33.9,33.9,33.9,33.9,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.4,34.4,34.4,34.4,34.7,34.7,34.7,34.7,34.7
834,"TZA","Tanzania",40.2,40.2,40.2,40.4,40.4,41.7,41.7,41.9,41.9,42.4,42.9,43.4,44.6,44.6,45.1,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,61.2,61.2,61.3,61.3,61.3,72.1
764,"THA","Thailand",59.7,61.3,61.6,62.5,65.7,66.7,66.9,66.9,67,67,67,67,67.5,67.8,69.5,69.5,69.5,69.5,69.5,69.5,69.9,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2
626,"TLS","Timor-Leste",0,0,0,0,0,6.4,6.4,6.4,6.4,6.4,6.4,6.4,15.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,27.3,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2
768,"TGO","Togo",38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,39.1,39.1,41.8,41.8,41.8,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.6,62.6,62.6,62.6,62.6,62.6,62.6
776,"TON","Tonga",2,2,2,2,2,2,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,7.9
780,"TTO","Trinidad and Tobago",14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,32.9
788,"TUN","Tunisia",2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,13.1,13.1,13.4,13.4,13.4,15.1,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
792,"TUR","Turkiye",0.3,0.3,0.3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
795,"TKM","Turkmenistan",17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,18.2
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,"TUV","Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,"UGA","Uganda",59.3,59.6,59.6,59.7,59.7,59.8,59.8,62.1,62.1,62.4,62.4,65,65,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,72
804,"UKR","Ukraine",6.8,7,7.2,7.2,7.2,7.2,7.2,7.2,7.3,7.3,7.5,7.5,7.5,7.5,7.9,7.9,8,8,8,8,8,8,8,8,8,8,8,8,8,64.9
784,"ARE","United Arab Emirates",0,0.1,0.1,0.1,0.1,0.1,2.7,2.7,2.7,2.7,2.7,2.7,3.5,3.5,3.5,8.6,8.6,8.6,8.7,23.1,23.1,23.3,37,37.2,37.3,37.3,37.3,37.3,37.3,37.3
826,"GBR","United Kingdom",37.2,37.5,37.7,38.1,38.8,39.2,39.7,40.5,43.1,43.1,43.5,43.8,44.4,44.5,44.5,44.6,44.7,44.8,44.8,56.9,56.9,56.9,56.9,57,57,57,57,57,57,57
840,"USA","United States of America",21.6,22,22.2,22.4,22.6,23.4,24,24.2,24.9,25,25.3,25.5,25.6,25.7,26.2,26.3,26.4,26.5,26.6,26.9,27,27.1,27.1,27.1,27.3,27.3,27.3,27.3,27.3,39.9
858,"URY","Uruguay",12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.9,13.7,14.4,14.5,14.5,14.5,15.3,17.4,17.4,17.4,17.4,18.1,18.3,18.3,18.3,18.3,18.3
860,"UZB","Uzbekistan",11.8,11.8,12,15.2,15.2,15.2,15.4,15.4,15.4,15.4,15.5,15.6,15.6,19.6,19.6,19.7,19.7,19.7,19.8,19.8,19.8,24,24,24.1,24.4,34.1,36.6,36.6,36.6,36.6
548,"VUT","Vanuatu",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,3.6
862,"VEN","Venezuela",87.5,88,88,88,88,88.2,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.4,88.4,88.5,88.5,88.5,88.5,88.5,88.6,88.6,88.6,88.6,88.6,88.6,88.6,88.6,88.6
704,"VNM","Viet Nam",5.2,6.9,7.2,8.3,8.7,8.9,13.5,20.7,21.6,25,26.9,29.1,29.6,29.6,29.9,29.9,31.4,31.8,37.3,41.2,41.2,41.3,41.3,41.3,41.5,41.6,41.6,41.6,41.6,41.6
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
894,"ZMB","Zambia",88.6,88.6,88.6,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.8,89,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,91.2
716,"ZWE","Zimbabwe",54.9,54.9,54.9,54.9,54.9,54.9,54.9,66.1,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,72.7
