"code","iso","country","GIB.ind.1995","GIB.ind.1996","GIB.ind.1997","GIB.ind.1998","GIB.ind.1999","GIB.ind.2000","GIB.ind.2001","GIB.ind.2002","GIB.ind.2003","GIB.ind.2004","GIB.ind.2005","GIB.ind.2006","GIB.ind.2007","GIB.ind.2008","GIB.ind.2009","GIB.ind.2010","GIB.ind.2011","GIB.ind.2012","GIB.ind.2013","GIB.ind.2014","GIB.ind.2015","GIB.ind.2016","GIB.ind.2017","GIB.ind.2018","GIB.ind.2019","GIB.ind.2020","GIB.ind.2021","GIB.ind.2022","GIB.ind.2023","GIB.ind.2024"
882,"WSM","Samoa",50.8,50.8,50.8,50.8,50.8,52.9,53.2,53.9,55.9,56.8,58.6,60.7,62,63.2,62.7,61.2,58.5,54.4,50.7,46.6,42.9,42.9,43.8,48.6,52.7,55.8,55.2,52.5,52.5,52.5
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,56.6,56.4,56.5,53.8,51,48,47.5,49.1,49.5,50.4,52,54,54,54
682,"SAU","Saudi Arabia",65.1,65.1,65.1,65.1,65.1,65.8,61.9,53.6,44.9,34.1,30.3,27,32.5,40.5,45.4,45.2,49,48.1,51.2,50.1,48.8,46.1,47.4,48.5,47.1,46.2,49.3,51.6,51.6,51.6
686,"SEN","Senegal",54.9,54.9,54.9,54.9,54.9,55.9,58.3,60.2,62.3,60.9,60.6,59,58.8,59.6,58.5,53.8,49.8,48.5,48.6,48.4,48.6,50.1,53.2,57.5,60.1,61,60.5,61.6,61.6,61.6
688,"SRB","Serbia",56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,61.9,61.7,62.2,65.8,74.5,78.4,78.7,78.7,76.3,74.9,73.1,66.8,60.5,60.1,61.2,60.5,60.6,61.9,61.9,61.9
690,"SYC","Seychelles",40.6,40.6,40.6,40.6,40.6,40.8,36.5,36.1,36.7,32.7,33.1,36.1,41,44.5,45.7,49,54.5,59.1,62.6,60,57.1,54.6,53.6,51,47.3,41,39.5,41.4,41.4,41.4
694,"SLE","Sierra Leone",44.9,44.9,44.9,44.9,44.9,49.1,49.8,50.4,50.1,49.4,47.2,44.3,46.3,50.9,54.7,60.8,60.4,62.6,67.6,70,65.4,56.1,53.1,50.8,52.8,54,51.7,50,50,50
702,"SGP","Singapore",73.9,73.9,73.9,73.9,73.9,74.1,71.1,70,70.1,68.2,79.2,86.3,96.1,93.3,89.3,88.3,88.3,82.1,71.1,63,53.9,56,67.5,63.9,66.7,60,62.8,59.7,59.7,59.7
534,"SXM","Sint Maarten",36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,33.2,40.5,47.1,51.1,51.1,51.1
703,"SVK","Slovakia",76.1,76.1,76.1,76.1,76.1,76.1,76.1,73.2,70.6,69.6,69.5,70.7,74.8,78.3,80.2,81.8,80.6,80,77.7,75.5,72.7,69.5,68,66.9,66.7,66.6,64,62.9,62.9,62.9
705,"SVN","Slovenia",66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,65.4,64.6,64,63.2,64.3,65.6,65,63.3,62.4,63.8,64.2,63.5,64.4,65.5,67.6,68.7,70.1,71.4,71.4,71.4
90,"SLB","Solomon Islands",55.3,55.3,55.3,55.3,55.3,47,36.1,27.9,22.2,20.3,23.8,29.1,35.4,43.4,52.4,58.2,61.2,61.3,60.6,61.4,64,66.8,68.2,68.5,67.3,65.2,61.8,56.3,56.3,56.3
706,"SOM","Somalia",76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2
710,"ZAF","South Africa",47.4,47.4,47.4,47.4,47.4,50.1,52.6,57.5,58.4,57.4,58.2,58.9,58.3,56.4,55,55.3,56.7,60.2,61.2,59.3,61.2,61.6,62.3,61.8,58.7,56.1,55.4,56.5,56.5,56.5
410,"KOR","South Korea",56,56,56,56,56,58.7,61.5,63.7,64.7,65.6,66.3,66,64.2,64.1,63.2,60.7,57.8,55.6,53.7,53.1,53.3,54.7,56.2,57.7,60.1,62.2,62.9,63.9,63.9,63.9
728,"SSD","South Sudan",20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,36.4,28,28,28
724,"ESP","Spain",51.4,51.4,51.4,51.4,51.4,51.9,52.9,52.4,52.7,51.9,50.5,52.1,53.3,56.8,60.2,63.6,66.4,66.7,67.9,66.9,64.4,63.5,60.7,60.2,62.2,64,64.1,62.8,62.8,62.8
144,"LKA","Sri Lanka",62.9,62.9,62.9,62.9,62.9,61.5,60.4,57.4,56.6,55.6,55.6,57.1,59.8,64.1,66.9,69,69.4,69.2,70.3,69.1,65.2,61.4,60.9,61.6,59.9,56.8,55.1,54.2,54.2,54.2
275,"PSE","State of Palestine",39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,28.6,19.6,16.7,27.4,34,47.5,54.2,62.9,73.5,82.3,75.8,63.4,54.6,45,43.6,41.4,38.4,37.7,41.5,41.5,41.5
729,"SDN","Sudan",56,56,56,56,56,57.5,60.7,62.8,64.3,62.5,61.2,60.1,61.6,63.2,61.8,60.7,59.4,51.1,43.7,38.4,34.1,33.3,34.4,36.2,37.4,40.3,43.9,41.9,41.9,41.9
740,"SUR","Suriname",50,50,50,50,50,55,56.8,66.8,73.8,80.3,84.8,85.3,86,82.9,76.4,65.8,50.6,47.8,41.7,37.6,38.9,37,42.4,51.2,54.4,49.1,38,33.6,33.6,33.6
752,"SWE","Sweden",59.1,59.1,59.1,59.1,59.1,64.1,67.6,69.4,69.1,68.4,67.8,64.9,63.6,63.1,63.6,63.6,65.1,66.2,66.8,68.2,69.4,69.5,69.8,70.5,71.1,69.6,68.9,68.6,68.6,68.6
756,"CHE","Switzerland",56.8,56.8,56.8,56.8,56.8,59.1,58.8,58.3,57.8,58,57.5,57.2,59.2,59.9,60.1,61,63,64.1,63.2,63.9,64,63.9,65.3,66.7,66.9,66.2,66.5,65.6,65.6,65.6
760,"SYR","Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"TWN","Taiwan",54.1,54.1,54.1,54.1,54.1,53.4,51.6,46.4,41.7,39.3,40.2,44.2,48.9,54.6,61.9,69.7,75.3,75.8,74.4,72,69.5,67.3,64.7,62.8,62.4,63.5,63.4,64.8,64.8,64.8
762,"TJK","Tajikistan",35.5,35.5,35.5,35.5,35.5,41,50.6,56.7,68.5,76.4,81.5,80,77.1,77.9,78.2,77.7,80.4,80.5,84.7,80.3,76,70.3,59.9,53.7,49,46.3,48.5,51.4,51.4,51.4
834,"TZA","Tanzania",52.1,52.1,52.1,52.1,52.1,54.5,57.2,58.7,58.6,60,59,61.7,64.5,65.1,65.3,66.2,67.3,66.4,63.6,63,61.2,62.2,64,65.5,66.5,66,65.4,64.4,64.4,64.4
764,"THA","Thailand",49,49,49,49,49,48.5,48.4,49.2,50.6,52.2,54.6,57.2,57.3,57.2,55.4,54.9,54.2,53.7,54.1,53.9,54.2,55.2,56.9,59.1,60.4,59.8,58.7,57.7,57.7,57.7
626,"TLS","Timor-Leste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,17.9,40.9,63.8,83.9,87.1,86.7,82.1,85.5,97.9,100,100,100,100
768,"TGO","Togo",49.3,49.3,49.3,49.3,49.3,49.7,52.5,53.4,47,45,39.4,38.5,43.5,43.5,38.4,37.5,40.4,46.1,52.5,61.8,62.9,65.4,69.1,71.1,67.4,62.8,58.2,56.1,56.1,56.1
776,"TON","Tonga",62.8,62.8,62.8,62.8,62.8,61.3,61.5,61.7,58.7,55.1,52.6,51.2,49.1,49.5,44.9,44.4,49.9,54,55.7,57.8,58.6,57.7,57.6,57.4,51.2,44.7,41.2,41.2,41.2,41.2
780,"TTO","Trinidad and Tobago",62.6,62.6,62.6,62.6,62.6,58,52.3,46.2,41.3,41.3,42.1,40.6,41.4,44.7,46,46.6,46.7,49.2,52.2,56.4,58.6,61.3,61,60.8,58.2,55.9,53.1,52.7,52.7,52.7
788,"TUN","Tunisia",60.1,60.1,60.1,60.1,60.1,61.2,58.6,58,56.5,56.5,56.2,56.5,57.4,57.6,58,57.1,56.4,55,54.7,54.3,52.9,52.6,52.9,53.5,55.3,54.4,50.6,47.4,47.4,47.4
792,"TUR","Turkiye",51.5,51.5,51.5,51.5,51.5,50.4,48.9,49.2,50.5,53.3,56.2,57.9,58.2,58.9,56.1,54.3,53,51.6,52.1,54.3,57,58.8,59.5,60.9,60,59.3,59.6,60,60,60
795,"TKM","Turkmenistan",42.7,42.7,42.7,42.7,42.7,42,43.5,47,46.6,41.4,38.7,41.2,48.1,54.8,65.5,71.6,78.8,86.2,87.6,85.8,84.3,82.9,82.4,79.5,81.6,79.3,79.3,79.3,79.3,79.3
796,"TCA","Turks and Caicos Islands",48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,45.1,41.7,41.7,41.7
798,"TUV","Tuvalu",40.7,40.7,40.7,40.7,40.7,40.2,33.2,30.4,29.2,31.9,33.8,36.4,45.5,47.3,46,50.4,50.8,52.8,54.5,54.8,55.7,57.4,60.3,64.1,68,67.8,67.6,65.3,65.3,65.3
800,"UGA","Uganda",71.4,71.4,71.4,71.4,71.4,71.4,70.7,69.2,66.6,65.5,64.3,67,67.4,62.9,61.4,58.8,58.7,58.7,57.9,58,57,60.8,63.9,63.5,64.1,62.9,63.2,63.1,63.1,63.1
804,"UKR","Ukraine",39.6,39.6,39.6,39.6,39.6,46.3,54.2,62.5,70.6,77.3,80.3,81,80.4,78.5,74.9,71.4,66.6,62.1,58.1,56.6,55.7,54.1,55.5,57.6,60,61.4,62.5,61.1,61.1,61.1
784,"ARE","United Arab Emirates",51.8,51.8,51.8,51.8,51.8,51.3,51.7,56.8,55,53.2,53.2,53.6,55.8,54.1,50.8,40.5,33.2,32.1,30.2,32.5,36.2,43.4,52.2,59.5,61.5,59.6,56.1,53.4,53.4,53.4
826,"GBR","United Kingdom",67.3,67.3,67.3,67.3,67.3,69.3,68.9,68.8,68.6,68.5,68.5,67.1,67,66.6,67.1,66.8,67.6,67.2,66.8,67.9,69.4,71.4,73.4,74.7,75.9,74,72.8,71.8,71.8,71.8
840,"USA","United States of America",59.8,59.8,59.8,59.8,59.8,60.8,61.6,62,61.9,61.9,61.9,61.6,61,61,62,61.8,62.2,63,62.8,62.2,62.5,63.4,63.7,63.3,63.7,64.4,64.3,64.7,64.7,64.7
858,"URY","Uruguay",63.9,63.9,63.9,63.9,63.9,65.1,63.2,58.2,52.6,49.1,46.5,43.4,45.7,48.4,51.6,59.8,66.2,69,71.1,71,70.4,67.5,66.6,62.5,58.3,55.2,51.3,49,49,49
860,"UZB","Uzbekistan",38.1,38.1,38.1,38.1,38.1,43.5,50.4,52.4,54.7,57.6,61.9,65.2,70.7,73.6,80.6,86.5,89,87.9,87.7,88.3,88.9,86.3,83.7,79.9,78.9,77.6,74.3,70.1,70.1,70.1
548,"VUT","Vanuatu",53.2,53.2,53.2,53.2,53.2,56.4,58.9,58.7,56.5,57.9,59.1,61,57.4,55.2,53,53,52.4,50.9,49.3,48.2,51.3,61.1,67.3,69.1,73.3,72.8,70.2,68.3,68.3,68.3
862,"VEN","Venezuela",43.2,43.2,43.2,43.2,43.2,38.2,39.7,38.6,35.2,38.9,44.7,52.9,62.5,66.2,69.5,68.2,72.1,67.8,57.9,53.7,50,44.3,39.1,36.5,28.9,14.7,6.3,3.9,3.9,3.9
704,"VNM","Viet Nam",60.2,60.2,60.2,60.2,60.2,58.7,57.1,55.9,55.1,53.2,52.6,53.3,54.5,55.4,55.4,55.5,56.3,58.6,60.3,58.8,56.1,55.1,56.1,56.4,52,47.4,44.5,46.9,46.9,46.9
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",55.7,55.7,55.7,55.7,55.7,50.2,46.6,45.5,44.1,42.1,40.3,37.4,36.1,38.4,38.9,40.9,41.9,48.2,48.6,50.2,54.1,56.4,55.3,53,48.9,45,39,37.5,37.5,37.5
894,"ZMB","Zambia",57.6,57.6,57.6,57.6,57.6,61.4,64.5,64.2,64.5,63.1,61.9,66.5,70.5,71.6,75.9,80,84.2,83,79.3,76,70.5,67.3,64.5,62,60.5,58.1,58,57,57,57
716,"ZWE","Zimbabwe",63.6,63.6,63.6,63.6,63.6,62.4,63.7,59.1,52.5,45.7,38.5,33.1,30.4,26.3,23.9,29.3,38.6,52.2,62.3,71.5,75.2,79.9,82.8,78.6,72.2,67.8,63.8,62.5,62.5,62.5
