"code","iso","country","CDA.ind.1995","CDA.ind.1996","CDA.ind.1997","CDA.ind.1998","CDA.ind.1999","CDA.ind.2000","CDA.ind.2001","CDA.ind.2002","CDA.ind.2003","CDA.ind.2004","CDA.ind.2005","CDA.ind.2006","CDA.ind.2007","CDA.ind.2008","CDA.ind.2009","CDA.ind.2010","CDA.ind.2011","CDA.ind.2012","CDA.ind.2013","CDA.ind.2014","CDA.ind.2015","CDA.ind.2016","CDA.ind.2017","CDA.ind.2018","CDA.ind.2019","CDA.ind.2020","CDA.ind.2021","CDA.ind.2022","CDA.ind.2023","CDA.ind.2024"
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,61.1,53.8,47.6,41.2,42.2,44.8,46.2,47.8,50.6,53.4,55.6,56.6,53.8,51,52,50.6,48.9,48.9,48.9,48.9
442,"LUX","Luxembourg",91.3,91.3,91.3,91.3,91.3,90,78.4,63.4,50.4,39.2,33.5,29.3,29.4,34.1,40.1,44.4,48.5,52.3,59.6,62.4,64.3,65.8,67.5,66,64.5,66.8,65.6,67.4,67.4,67.4
446,"MAC","Macao",30.8,30.8,30.8,30.8,30.8,31,31.1,36,39.9,40.6,42.2,44.8,50.2,60,54.2,60.3,62.9,72.8,85.7,78.5,56,43.3,35.7,44,39.9,48.1,53.9,60.4,60.4,60.4
450,"MDG","Madagascar",22.1,22.1,22.1,22.1,22.1,18.8,19.3,30.7,35.3,37.9,42.5,48.5,49.7,49.6,48.6,43,34.8,34,25.2,18.1,14.2,14.2,11.3,14,19,27.6,31.7,34.1,34.1,34.1
454,"MWI","Malawi",41.7,41.7,41.7,41.7,41.7,45.7,51.1,55.6,53.7,52.6,52.9,52.1,49.3,45.5,42.1,41.3,42,41.2,38.1,38.6,40.6,41.4,41.3,33.2,28.3,24,18.2,15.3,15.3,15.3
458,"MYS","Malaysia",18.8,18.8,18.8,18.8,18.8,25.5,29.5,33.8,33.1,32.6,29,27.6,25.4,25.4,29.7,31.7,33.9,37,35.7,33.5,34,35.9,37.9,37.5,38.2,39.3,40.6,41.3,41.3,41.3
462,"MDV","Maldives",8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,13,13.2,13.5,19,19.3,20.1,22.7,19.4,24.2,20.9,24.6,23.5,23.3,21,18.6,22.4,26.5,30.4,30.4,30.4
466,"MLI","Mali",10.6,10.6,10.6,10.6,10.6,7,6,6.9,9.6,11.8,15.7,20.5,23,21,22.5,22.4,21.4,21.2,20.9,18.3,17.7,13.9,8.8,4.8,2.5,1,1.1,4.6,4.6,4.6
470,"MLT","Malta",46.9,46.9,46.9,46.9,46.9,48.1,49,50.4,45.2,42.9,44.6,45.8,46.4,48,51,56.5,58.1,56.1,56.4,56.9,71.8,91.7,98.6,100,100,95.5,84.2,67.2,67.2,67.2
584,"MHL","Marshall Islands",40.5,40.5,40.5,40.5,40.5,40.5,40.5,39.6,38.8,37,36.3,35.5,35.6,35.7,37.8,38.2,38.6,39.2,41.1,41.2,43,44.3,45,45.8,46.4,46.9,46.1,46.7,46.7,46.7
478,"MRT","Mauritania",38.1,38.1,38.1,38.1,38.1,38.9,39.4,39,38.7,37.7,36.1,33.3,29.2,26.7,24.1,23.2,22.7,21.5,25.5,26.3,25.8,29.7,27,24.9,23,21.2,19.3,17.9,17.9,17.9
480,"MUS","Mauritius",30.3,30.3,30.3,30.3,30.3,27.7,25.7,23.5,21.4,24.4,25.8,26.2,28.7,31.5,34.3,35.2,36.2,38.3,39.8,41.7,43.3,42.9,42,41.9,42.8,46.8,49.1,50.1,50.1,50.1
484,"MEX","Mexico",42.5,42.5,42.5,42.5,42.5,42.2,41,40.5,39.2,38,38.2,38.7,39.3,39.9,41.7,44.2,45.1,45.9,46.3,47.6,48.2,48.3,49.1,49.7,51.4,56.5,56.3,51.2,51.2,51.2
583,"FSM","Micronesia",38.6,38.6,38.6,38.6,38.6,38.6,38.6,47.5,56.1,71.4,84.3,92.7,87.8,77.8,63.8,61,60.5,58,51,45.1,43.1,42.8,39.7,41.8,37,41.6,43.5,45.2,45.2,45.2
498,"MDA","Moldova",90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,76.3,58.1,48.9,37.4,36.1,40.4,44.1,48.1,50,52.7,53,51.3,48.9,45,44.6,44.5,42.7,43.2,43.2,43.2
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",73.3,73.3,73.3,73.3,73.3,81.2,70.1,54.9,49.5,47.3,45.5,41.9,34.6,29.5,25,22.2,11.1,0,0,0,0,1.5,5.6,8.6,14.9,31.4,39.8,38.2,38.2,38.2
499,"MNE","Montenegro",37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,34.5,25.7,38.4,38.6,38.8,41,43.1,44.2,48.2,51.2,54.3,46.9,50.5,47.1,44.8,44.6,44.6,44.6
504,"MAR","Morocco",34.8,34.8,34.8,34.8,34.8,36.3,35.9,36.1,36.6,34.3,32,30.5,29.4,28.9,30.2,31.2,31.7,33,37,39,40.5,42.3,42.9,42.8,41.8,41.8,39.9,39.7,39.7,39.7
508,"MOZ","Mozambique",43.2,43.2,43.2,43.2,43.2,40.6,38,35.6,28.3,24.2,23.1,23.4,21.6,24.4,26.7,27.6,23.8,24.1,19,0,0,0,0,0,0,12.2,23.5,36.8,36.8,36.8
104,"MMR","Myanmar",14.6,14.6,14.6,14.6,14.6,13.1,20.1,25.2,29.5,27.7,28.4,28.1,29.8,37.9,43.1,40,38.9,44.2,47.2,40.7,30.4,21,11.3,3.9,1.9,0,0,3.6,3.6,3.6
516,"NAM","Namibia",30.6,30.6,30.6,30.6,30.6,30.6,34.1,40.9,43.6,43.6,40.5,37.2,35.3,30,28.6,30,28.5,27.7,34.4,33.5,30.4,28.4,29,28.2,29.2,33.8,39.8,41.1,41.1,41.1
520,"NRU","Nauru",66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,52.6,41.4,39.4,36.7,35,36.8,39.2,43.6,47.4,47.4,47.4
524,"NPL","Nepal",0,0,0,0,0,0,6.9,19.6,30.5,42.4,43.9,50.3,53.7,55.4,43.7,32.1,19,13,5.6,0,0,0,0,0,0,0,0,5.2,5.2,5.2
528,"NLD","Netherlands",47.7,47.7,47.7,47.7,47.7,49.3,49.2,49.3,49.2,49.1,49.4,49.1,49.6,49.5,51.1,50.9,52.3,54.2,54.8,55.9,55.6,56,56.4,57.1,59,60.7,62.7,68.3,68.3,68.3
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",41.8,41.8,41.8,41.8,41.8,42,41.3,39.8,38.7,39,39.4,40.1,40.8,42.8,46.1,49.2,51.4,52.9,53.5,54.1,52.3,52.1,50.7,49,48.4,49.5,51,53,53,53
558,"NIC","Nicaragua",23.6,23.6,23.6,23.6,23.6,22.9,24.9,24.9,26.8,28.9,31.8,35.2,37.7,40.7,42.8,45,45.2,47,47,46.4,44,41.9,39.8,40.6,41.8,45.6,45.1,45.9,45.9,45.9
562,"NER","Niger",41,41,41,41,41,38.7,39.7,42.2,40.7,39.8,44.3,46.8,48.2,45.6,40.3,32,25,12.2,0,0,0,0,0.4,17.3,25.4,30.2,34.3,33.2,33.2,33.2
566,"NGA","Nigeria",5.3,5.3,5.3,5.3,5.3,11.5,19.3,31,44,46.6,47.2,47.4,49.8,53.3,64.3,53.9,44.9,43.4,38.6,34.8,32.9,33.1,37.9,43.9,49.9,49.3,45,44.9,44.9,44.9
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"MKD","North Macedonia",49.9,49.9,49.9,49.9,49.9,43.8,46.1,48,50.2,53.4,56.4,52.3,51.3,47.5,47.5,48.2,47.8,49.9,53.3,60.6,68,74.1,71.7,70.9,64.5,62.2,52.8,47.5,47.5,47.5
578,"NOR","Norway",38.8,38.8,38.8,38.8,38.8,38.9,40.4,42.9,44.5,45.6,47.5,47.7,47.2,47.5,48.3,48.4,48.3,49.2,49.3,49.2,49.4,49.8,49.6,49.7,52.3,53.8,55.9,58.8,58.8,58.8
512,"OMN","Oman",20,20,20,20,20,19.6,23.6,26.1,24.2,23.3,21,16.9,14.2,14.5,16.2,15.8,18.5,18.8,15.5,20,25.7,29.2,30.7,34.1,43.2,47.6,48.6,47.9,47.9,47.9
586,"PAK","Pakistan",31.3,31.3,31.3,31.3,31.3,31.6,33.8,35,35.6,33.9,33.5,31.1,28.9,28.6,29.6,31.9,35.5,39.1,43.6,46,47,43.9,38,35,33.1,33.4,32.4,35.7,35.7,35.7
585,"PLW","Palau",49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,50.2,50.2,50.1,50.2,50.4,51.5,51.4,47.8,48.8,50.3,52.2,51.6,51.6,51.6,51.6
591,"PAN","Panama",20.3,20.3,20.3,20.3,20.3,24.9,24.5,24.4,27.3,31.2,35.8,36.7,39.5,38.1,36,33.9,26.7,26.4,25.9,29.1,30.2,32,34.5,40,38.9,43.6,43.9,45,45,45
598,"PNG","Papua New Guinea",36.3,36.3,36.3,36.3,36.3,33.9,29.9,25.7,21.7,17.5,17.5,19.9,15.6,11.4,19.8,30.3,36.9,44.1,48.6,46.3,44.3,42,35.4,30.5,27.9,30.5,31.7,36.4,36.4,36.4
600,"PRY","Paraguay",13.8,13.8,13.8,13.8,13.8,23.2,34.8,42.5,47.8,50.2,50.9,52.4,51.4,48.1,42.6,40.1,37.7,36,34.5,32.9,32.3,29.4,26.3,23.7,23.7,25.9,24,25.7,25.7,25.7
604,"PER","Peru",34.4,34.4,34.4,34.4,34.4,34.5,39.5,45,48.7,49.3,48.2,49.9,45.2,40.5,33,26,24.3,23.4,27.5,27.5,28.5,32.3,33,34.8,34.9,39.6,41,40.2,40.2,40.2
608,"PHL","Philippines",25.2,25.2,25.2,25.2,25.2,27.3,31.4,35,40,43.2,45.1,49.4,49.2,48,47.5,44.4,42.4,40,37.1,33.5,29,27.5,24.9,22.1,22.1,24.9,28.2,31.4,31.4,31.4
616,"POL","Poland",55.9,55.9,55.9,55.9,55.9,59.2,61.7,65.5,65.4,63.8,60.7,53.7,49.3,47.8,47.8,47.4,47.6,49.1,50.2,52.6,55.3,53.6,50.5,49.3,50.5,51.6,49.8,49.3,49.3,49.3
620,"PRT","Portugal",36.5,36.5,36.5,36.5,36.5,35.8,35.9,34.1,36.3,38.4,39,43.6,48.6,54.2,57.9,64.1,68.7,64.3,61.5,56.5,52.1,51,50.6,50.5,50.5,53.1,57.7,62.3,62.3,62.3
634,"QAT","Qatar",29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,28.1,23.7,19.6,21,22.5,27.2,29.9,31.6,35.8,39.4,41.6,41.7,40.7,40.7,40.7
178,"COG","Republic of Congo",0,0,0,0,0,0,0,25.4,54.5,59.6,60.6,52.5,45.2,43.1,38.1,29.3,24.2,31.8,34,38.3,38.7,37.4,40.4,41.5,38.4,34.1,33.9,35,35,35
642,"ROU","Romania",63.1,63.1,63.1,63.1,63.1,66.9,68.5,64.7,62.3,59.1,55.9,50.5,45.2,42.6,48.6,52.9,55.6,58.3,62.9,67.8,71.9,73.6,67.5,60.4,60.6,62,57.1,54,54,54
643,"RUS","Russia",50.8,50.8,50.8,50.8,50.8,53.9,53.9,53.9,52.3,50.7,49,46.4,45.7,45.3,46.4,46.7,46.2,46.2,47,48,49,49.2,49.1,48.1,49.1,50,49.1,48.8,48.8,48.8
646,"RWA","Rwanda",50.3,50.3,50.3,50.3,50.3,47.1,45.7,44.4,43.8,44.3,45.8,47.4,47.3,48.3,47.6,45.8,42,37,32.2,27.7,22.2,18,13.7,11.5,10.8,13.6,15.1,18,18,18
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",30.9,30.9,30.9,30.9,30.9,28.6,28.1,26.6,27.1,27.1,29.8,33.5,35.5,38.2,40,42.1,43.6,44.4,45.4,44.4,45.3,46.2,45.8,45.6,44.4,46.2,47.8,50,50,50
662,"LCA","Saint Lucia",21.4,21.4,21.4,21.4,21.4,24.1,27.7,31.4,33.9,34.6,36.7,37.5,38.9,39.5,40.5,38.8,37.9,38.3,39.1,39.5,41.9,44.1,45.3,46.5,48.8,49.2,50.1,50.4,50.4,50.4
670,"VCT","Saint Vincent and the Grenadines",15.9,15.9,15.9,15.9,15.9,20.4,22.1,26.7,28.6,26.9,26.5,28.4,31,32.4,29.4,37.4,42.2,45.4,49.1,47.6,48.4,49.3,50.7,50.9,47.7,47.5,49,49,49,49
882,"WSM","Samoa",29.3,29.3,29.3,29.3,29.3,29.9,29.1,28.5,29.9,34.4,36.3,37.2,38.8,40.8,43.8,44.7,43.9,43.4,43.4,42.4,39.2,35.8,32.1,33.6,32.9,34.8,36,39.4,39.4,39.4
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,28,29.9,31.8,30,28.3,24.7,25.6,29,32,34.7,38.8,44,44,44
682,"SAU","Saudi Arabia",62.3,62.3,62.3,62.3,62.3,69.6,63.9,52.3,42.4,29.4,22.7,16.6,20.2,25.3,30.1,28.8,31.2,30.9,33.9,31.9,29.5,26.7,29.7,32.2,34.2,38.6,44.1,46.5,46.5,46.5
686,"SEN","Senegal",48.2,48.2,48.2,48.2,48.2,48,45.1,42,37,30,26.3,28.1,32.6,38.3,41.5,38.5,33.2,30.9,26.9,21.1,13.5,14.7,15.7,20.3,23.7,27.9,29.3,33.9,33.9,33.9
688,"SRB","Serbia",36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,40.4,37.8,35,34.8,47,55.3,61.7,68.8,71.8,75.4,76.8,67.1,57,52.8,51.5,50.1,47.6,47.6,47.6,47.6
690,"SYC","Seychelles",18.4,18.4,18.4,18.4,18.4,19,17.5,19.3,23.3,26,31.5,35.3,36.3,37.2,37.2,37.8,39.6,41,44.4,44.4,42.9,40.1,37,33.9,31.3,29.4,29.5,30.9,30.9,30.9
694,"SLE","Sierra Leone",51.5,51.5,51.5,51.5,51.5,51.9,49.5,30.7,14.3,0.6,0.7,0,3.5,12.6,31.8,42.3,42,33.4,20.1,9,8.4,2.5,6.3,14.5,26.7,39.4,46.1,50.3,50.3,50.3
702,"SGP","Singapore",45.3,45.3,45.3,45.3,45.3,48.1,50.5,53.3,52.3,48.4,58.3,64.5,72.9,69.7,64.7,61.3,64.9,53,43.7,37.3,30.8,35.2,47.7,45.8,54.1,50.7,55.4,51.9,51.9,51.9
534,"SXM","Sint Maarten",37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.3,48,50.3,50.6,50.6,50.6
703,"SVK","Slovakia",58.5,58.5,58.5,58.5,58.5,58.5,58.5,55.8,53.9,53.7,52.5,51.6,51.8,51.3,53.9,58.2,59.1,63.2,66,68.5,67.8,64.9,60.4,54.9,55.2,56.1,52.4,51.7,51.7,51.7
705,"SVN","Slovenia",47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.8,46.7,45.1,43.2,45.6,48.5,49.9,51,53.3,55.7,57.1,57.3,59.9,59.2,58.6,59.5,58.6,57.9,57.9,57.9
90,"SLB","Solomon Islands",32.4,32.4,32.4,32.4,32.4,34,34.7,35.7,36,35.1,34.5,34.3,34.1,33.8,34.6,35.5,36.1,37.1,37.2,39.8,45.2,50.3,56.5,62.9,66.6,67.9,64,59.7,59.7,59.7
706,"SOM","Somalia",49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6
710,"ZAF","South Africa",39.8,39.8,39.8,39.8,39.8,40.4,41.2,45.5,46.4,44.7,44.2,42.7,39.9,37.1,36.4,37.6,40,44.8,47.6,47.6,51.2,54,56.7,56.1,52.4,52.9,53.4,56,56,56
410,"KOR","South Korea",27.4,27.4,27.4,27.4,27.4,31.3,34.5,37,38.8,40.1,40.7,39.9,37.7,40.1,41.8,40.8,39.3,38,37.2,37.7,38.7,40.5,42,43.4,46.5,49.5,50.6,52.6,52.6,52.6
728,"SSD","South Sudan",37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,37.6,39.6,42.5,42.5,42.5
724,"ESP","Spain",41,41,41,41,41,39.7,38.6,36.5,36.4,35.6,34.1,35.9,37.7,42.1,48,53.4,59.4,63.5,63.7,60.3,54.9,55.4,54.6,53.2,53.6,56.1,56.6,55.1,55.1,55.1
144,"LKA","Sri Lanka",14.5,14.5,14.5,14.5,14.5,13.4,14.7,13.4,16.7,19.2,24.2,28.1,31.8,37.3,40.6,41.2,39.7,37.1,38.1,33.8,28.9,23.3,20.3,23.7,26.4,31.9,36.5,44.2,44.2,44.2
275,"PSE","State of Palestine",33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,24.9,16.2,14.7,21.6,21.6,24.9,25.5,30.5,42.5,52.5,48.1,38,31.6,26,27.5,28.3,31.5,33.7,38.1,38.1,38.1
729,"SDN","Sudan",45,45,45,45,45,36.1,26.4,15.7,16.1,7.3,3.6,1.8,0,0,3,10.3,19.7,26.1,30.4,30.8,30.2,31.8,31.3,30.3,30.2,32.9,36,40.3,40.3,40.3
740,"SUR","Suriname",44.5,44.5,44.5,44.5,44.5,47,45,51.4,58.8,67.8,74.3,74.4,70.3,61.7,53,42.2,26,23.9,19.2,17.3,22.3,25.8,35.5,47.3,52,53.7,47.6,45.2,45.2,45.2
752,"SWE","Sweden",49.4,49.4,49.4,49.4,49.4,51.5,53.7,55.5,56.6,55.6,56.7,54.4,54.9,55.6,60.2,60.2,61.7,63.3,64.2,65.1,66.1,66,65.8,65.7,68.5,67.9,66,64.8,64.8,64.8
756,"CHE","Switzerland",51.2,51.2,51.2,51.2,51.2,51.5,49.8,49,48.7,48.8,48.5,48.2,49.6,49.5,50.1,50.3,52.3,55.1,55.8,58.9,60.5,60.7,63.2,64.4,65.2,65.2,65.9,64.1,64.1,64.1
760,"SYR","Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"TWN","Taiwan",27.5,27.5,27.5,27.5,27.5,27.7,28.7,29.9,30.5,31.4,32.6,34,35.3,38.1,42.5,44.1,45.6,47.5,48.7,49.3,49.3,48.3,46.6,46.4,48.6,49.6,48.6,49.2,49.2,49.2
762,"TJK","Tajikistan",69.4,69.4,69.4,69.4,69.4,75,75.3,75.7,65.2,58.8,55.4,46.7,41.6,36.8,36.1,37.6,40.8,44.5,47.9,37.5,28,18.1,2.1,0,0,0,0,0,0,0
834,"TZA","Tanzania",41.5,41.5,41.5,41.5,41.5,42.6,39.5,35.7,30,27.7,19.1,11.1,4.9,5.2,10.8,15.2,18.1,18.2,19.1,22.4,21.8,20.4,20.5,21.9,24,24.8,24.9,24.2,24.2,24.2
764,"THA","Thailand",17.4,17.4,17.4,17.4,17.4,24.4,31.4,36.9,40.4,41.3,40.4,37.7,34.2,34.9,35.7,36.8,38.6,38.7,39.5,39,38.5,38.6,39,40.2,42.5,45.2,48.5,50,50,50
626,"TLS","Timor-Leste",25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,28,41.7,33.9,30.4,12.1,8.2,5.7,8,17.6,25.4,38.4,45.4,46.2,46.2,46.2
768,"TGO","Togo",33.2,33.2,33.2,33.2,33.2,33.7,36.8,38,32.7,32.3,30.6,31.9,43.4,47.2,29.6,23.6,25.5,30.3,35.8,43,45.9,48,56,67.9,52.8,44.1,34.7,28.4,28.4,28.4
776,"TON","Tonga",40.8,40.8,40.8,40.8,40.8,40.2,40.8,44.3,41.7,39.9,37.2,38.4,38,40,35.8,38.8,47.7,53.9,54,56.8,56.8,50.5,47.7,44.1,34.9,26.9,23.7,23.7,23.7,23.7
780,"TTO","Trinidad and Tobago",41.1,41.1,41.1,41.1,41.1,35.9,30.3,22.1,15.6,15.5,16.9,14.2,13.7,16.7,20.3,23.9,28.1,33.6,38.3,43.8,47.6,51.8,54,55.5,57.2,55.7,52.1,52.2,52.2,52.2
788,"TUN","Tunisia",39.9,39.9,39.9,39.9,39.9,41.2,38.7,38.4,36.8,36.2,36.5,37.3,37.3,37.4,38,36.7,37.3,37.3,38.2,38.5,38.3,39.9,40.5,41.4,43.9,46,45.1,43.6,43.6,43.6
792,"TUR","Turkiye",34,34,34,34,34,33.6,35.6,37.4,38,40,40.1,38,33.7,31.5,31.3,30.4,31.3,32.8,35.2,37.6,38.6,38.5,36.2,36,37.9,40.4,40.1,40.9,40.9,40.9
795,"TKM","Turkmenistan",44,44,44,44,44,40.8,41.3,44.9,45.8,38.6,33.5,31.6,32.4,29.3,27.2,24,24.7,31.2,34.5,35.3,37.5,40.2,44.3,45,48.7,49.5,49.5,49.5,49.5,49.5
796,"TCA","Turks and Caicos Islands",36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,38.7,41.4,41.4,41.4
798,"TUV","Tuvalu",6.8,6.8,6.8,6.8,6.8,2,0,0,0,0,5.7,23.2,45.2,43.3,41.4,50,50,50,50,50,50,50,50,50,50,50,49.1,48.6,48.6,48.6
800,"UGA","Uganda",26,26,26,26,26,22.1,19.4,18.7,20,26.4,24.4,19.9,15.6,11.8,9.4,5.2,3.1,7,13.4,20.7,24,25.5,24.3,25.3,26.8,27.6,26.6,29.5,29.5,29.5
804,"UKR","Ukraine",50,50,50,50,50,54,56.3,61.2,60.8,59.8,55.1,50.3,46.4,43.9,47.4,50.1,50.4,51.5,52.5,53,52.5,50.9,51.3,51.5,54.6,57,59.8,62.6,62.6,62.6
784,"ARE","United Arab Emirates",31.9,31.9,31.9,31.9,31.9,28.2,27.9,33.9,33.4,30.6,30.1,29.4,30,27.8,27.8,19.4,14.7,17.2,17.2,19.8,23.3,28.3,35.2,40.9,44.5,47.2,47.1,45.9,45.9,45.9
826,"GBR","United Kingdom",55.9,55.9,55.9,55.9,55.9,54.6,51.7,51.2,50.5,50.1,50.2,49.6,50.2,51.4,56.1,58.5,61.5,64.4,65,67.2,69.6,71.9,74.4,75.2,78.1,76.9,75.3,74.3,74.3,74.3
840,"USA","United States of America",43.7,43.7,43.7,43.7,43.7,43,43.7,44.4,45.1,45.5,46.3,47,47.4,48.7,51.2,52.5,55.4,59.1,60.8,59.5,58.5,58.5,57,54,54.7,56.9,56.7,57.7,57.7,57.7
858,"URY","Uruguay",32.6,32.6,32.6,32.6,32.6,37,40.1,42.5,48.3,50.5,50.8,49.4,47.4,38.3,26.9,27.9,26.6,27.6,34.8,41.3,47.7,52,65.7,62.5,59.6,67.3,56.4,46.1,46.1,46.1
860,"UZB","Uzbekistan",44.3,44.3,44.3,44.3,44.3,43.7,43.8,41.7,39.7,39.9,43.3,46,49.4,49.9,54.8,61.8,63.5,60.3,59.2,59.3,62.3,59.2,56.5,54.3,54.6,55.7,51,46.8,46.8,46.8
548,"VUT","Vanuatu",34.6,34.6,34.6,34.6,34.6,33.5,32.9,35.7,39.7,51.6,66.1,83.6,64.8,55.8,44.8,33.3,19.4,12.8,9.3,9.1,17.4,33,35.4,35.7,34.5,30.4,24.7,25.4,25.4,25.4
862,"VEN","Venezuela",37.9,37.9,37.9,37.9,37.9,36.1,38.6,39,38.6,41.9,44,47.4,49.8,45.8,46.4,42.7,45.1,41.8,37.8,39.7,42.8,47,51.2,53.7,53.8,50.5,50.6,50,50,50
704,"VNM","Viet Nam",5.1,5.1,5.1,5.1,5.1,1.9,0.7,1.7,4.5,5.3,7.7,10.4,11.1,11.6,14.3,16.1,17.4,20.8,23.9,22.4,18.6,16.9,18.2,17.7,12.4,7.6,6,10.8,10.8,10.8
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",30.3,30.3,30.3,30.3,30.3,25.2,21.9,20.3,22.5,22.9,22,21.8,23.4,26.1,26.2,28.4,33.6,43.1,44.3,46,52.1,53.5,53.7,54.7,53.5,54.3,56.9,60.4,60.4,60.4
894,"ZMB","Zambia",63.8,63.8,63.8,63.8,63.8,69.7,70.3,66.4,59.4,52.1,47.9,48.3,42.5,35.1,31.7,29.3,26.4,20.6,15.6,11.7,9.5,8.2,7.5,7.5,8,10.7,14.7,16.8,16.8,16.8
716,"ZWE","Zimbabwe",57,57,57,57,57,60.6,66.9,67.1,63.9,58,54,52,52.3,52.5,52.2,53.6,53.3,50.6,45.3,41.9,35.7,34.2,36.9,42.6,50,62.1,69.8,69.1,69.1,69.1
