"code","iso","country","NDA.ind.1995","NDA.ind.1996","NDA.ind.1997","NDA.ind.1998","NDA.ind.1999","NDA.ind.2000","NDA.ind.2001","NDA.ind.2002","NDA.ind.2003","NDA.ind.2004","NDA.ind.2005","NDA.ind.2006","NDA.ind.2007","NDA.ind.2008","NDA.ind.2009","NDA.ind.2010","NDA.ind.2011","NDA.ind.2012","NDA.ind.2013","NDA.ind.2014","NDA.ind.2015","NDA.ind.2016","NDA.ind.2017","NDA.ind.2018","NDA.ind.2019","NDA.ind.2020","NDA.ind.2021","NDA.ind.2022","NDA.ind.2023","NDA.ind.2024"
620,"PRT","Portugal",47.1,47.1,47.1,47.1,47.1,45,49.1,52.7,60.3,69.9,77.2,82.7,77.3,72.8,69.8,62,67.7,62,57.9,54.5,52.4,52.8,49.6,47.2,47.4,46.8,53.8,59.3,59.3,59.3
634,"QAT","Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,8.4,14.9,14.9,14.9
178,"COG","Republic of Congo",100,100,100,100,100,100,100,100,61.1,3.1,0,0,0,0,0,0,0.9,25.4,27.2,36.8,31.9,26.4,30.2,33.9,42.4,50,54.1,55.4,55.4,55.4
642,"ROU","Romania",95.7,95.7,95.7,95.7,95.7,94.4,99.3,99.4,89.7,75.4,62.8,57,50.4,45.9,51.6,45.9,42.6,51.1,54.3,49.5,47.4,47.5,45.5,39.3,40.9,39.3,33.5,36.1,36.1,36.1
643,"RUS","Russia",56.4,56.4,56.4,56.4,56.4,65,71.9,71.7,64.7,59.1,52.9,46.9,43,41.8,43.4,45,41.8,40.3,38.3,38.4,39.2,40.4,41,39.6,38,38.4,35.6,36.2,36.2,36.2
646,"RWA","Rwanda",46,46,46,46,46,38.4,26.5,15.6,5.6,0,0.9,0,0,0,0,0,0,1,7,15.1,16.7,19.9,21.5,24.4,24.7,25.2,28.1,31,31,31
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",12.3,12.3,12.3,12.3,12.3,14,15.5,40.9,52.1,63.3,81.2,100,100,100,87.7,58.6,36.2,45.7,53.2,60.4,64.9,81.8,100,100,100,100,82.1,66,66,66
662,"LCA","Saint Lucia",100,100,100,100,100,100,88.2,60,40.3,37.6,39.2,43.6,53.1,49.6,45.8,32.5,35.5,38.1,34.6,31.4,26.4,27.6,39.3,52.3,55.6,54.4,52.9,49.1,49.1,49.1
670,"VCT","Saint Vincent and the Grenadines",0,0,0,0,0,3.6,14.1,52.3,82.4,100,100,100,100,100,74.9,52,27.8,28.2,36.5,41.9,47.3,56.3,81.1,100,97,89.9,77.1,56.5,56.5,56.5
882,"WSM","Samoa",39.6,39.6,39.6,39.6,39.6,38.2,34.3,33.5,31.7,29.6,29.5,31.4,35.3,39.3,40,37.5,31.1,25.2,19.9,16.1,9.6,13.3,22.6,38.2,58.8,74.2,79.9,79.2,79.2,79.2
674,"SMR","San Marino",55.2,55.2,55.2,55.2,55.2,55.2,55.2,55.2,55.2,55.2,55.2,55.2,91.3,100,100,100,100,100,72.8,60.6,54.7,51,40.5,36.3,36.3,39.5,53.7,53.7,53.7,53.7
678,"STP","Sao Tome and Principe",3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,9.9,12.5,12.5,11.6,11.8,14.5,14.4,16.5,17.9,21.3,23,26,26,26
682,"SAU","Saudi Arabia",32,32,32,32,32,34.4,35.5,34.5,33.4,31.3,36,37.8,35.6,35.2,35.5,35.2,31.5,26.7,23,18.5,15.6,14.4,15.1,21,27.6,31.9,32.8,32.3,32.3,32.3
686,"SEN","Senegal",28.6,28.6,28.6,28.6,28.6,23.7,27.2,34.8,46.8,49.7,51.7,47.2,48.9,49.5,45.2,31.6,24.6,26.8,34.3,36.5,40.7,35.2,34.3,34.9,34.2,27.5,23.3,24.3,24.3,24.3
688,"SRB","Serbia",50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,47.7,38.1,21.1,18.6,15.6,27.7,34.9,37.8,45.2,51.2,68.2,72.4,71.9,94.2,92.8,84.2,100,95.8,95.8,95.8
690,"SYC","Seychelles",34.8,34.8,34.8,34.8,34.8,25.5,11.2,12.5,15.2,6.9,4.9,6.6,17.9,32.2,46.4,50.5,61.6,76.3,100,83.6,64.2,39.7,29.9,22.8,17,19.6,25.2,29.4,29.4,29.4
694,"SLE","Sierra Leone",66.7,66.7,66.7,66.7,66.7,70.7,68,65.1,53,29,0,0,0,0,0,0,0.3,10.8,12.6,14,18.7,7.5,5.1,15.4,25.6,38.4,49.7,49.1,49.1,49.1
702,"SGP","Singapore",0,0,0,0,0,0,0,0,57.6,100,100,100,100,100,100,100,61.3,100,100,100,100,100,100,100,100,68.1,23.2,26.2,26.2,26.2
534,"SXM","Sint Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,"SVK","Slovakia",49.2,49.2,49.2,49.2,49.2,49.2,49.2,53.9,59.4,55.7,53.3,43.9,40.4,38.7,51.1,56.8,50,50.4,46.6,40.1,36.4,29.2,28.8,28.4,36.5,42.3,41.6,44.3,44.3,44.3
705,"SVN","Slovenia",49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,52,61.8,62.6,60.3,64.7,63.5,59.2,57.1,54,52.7,52.1,50.9,51.1,50.9,51.3,51.4,50,50.2,50.2,50.2
90,"SLB","Solomon Islands",28.9,28.9,28.9,28.9,28.9,30.3,32,33.4,34.9,37.2,37.5,37.1,34.3,31.8,32,32.9,34,35.1,35.9,36.9,37.3,40.8,40,27.3,29.2,32.5,37.4,41.5,41.5,41.5
706,"SOM","Somalia",51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2
710,"ZAF","South Africa",29.1,29.1,29.1,29.1,29.1,37,45.5,46,49.6,54.5,62.3,64,59.1,56.2,56.6,60.6,64.5,56.8,55,52,51.9,59.1,54.1,53.6,55.1,52.9,47.4,42.4,42.4,42.4
410,"KOR","South Korea",0,0,0,0,0,21.7,28.3,41.3,67.4,92.9,100,100,100,98.6,88.8,77,57.9,55.2,58.5,56.7,50.3,46.1,42,41.1,42.9,42.3,40.7,38.7,38.7,38.7
728,"SSD","South Sudan",45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,49.3,42.9,42.9,42.9
724,"ESP","Spain",36.2,36.2,36.2,36.2,36.2,29.9,27.5,32,34.4,38.5,48.4,53,58.9,71.1,80.9,81.1,81.9,81,69,59.4,54.2,51.5,45.4,43.3,44.7,43.2,44,47.2,47.2,47.2
144,"LKA","Sri Lanka",31.4,31.4,31.4,31.4,31.4,30.3,34.3,32.8,35,34.4,31.9,32.3,35.4,33.9,33.7,34.4,32.8,32.7,43.7,41.7,43.9,52.2,71,83.4,81.9,56.4,49.6,51.1,51.1,51.1
275,"PSE","State of Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,"SDN","Sudan",0,0,0,0,0,0,8,14.4,18.3,20.8,23.7,27.2,30.2,33.3,35.8,37.9,43.2,44.1,42.5,42,40.2,37.6,35.8,35.2,35.5,36.5,41.1,43.7,43.7,43.7
740,"SUR","Suriname",32,32,32,32,32,32.8,37.1,40.5,44.2,40.9,44.5,36,34.5,20.8,17.3,10.5,10.7,15.8,28.2,26,36.3,31.3,36.4,39.2,42,33.5,31.6,29,29,29
752,"SWE","Sweden",51.8,51.8,51.8,51.8,51.8,52.2,60.6,67.3,69.6,70.2,23.5,0,0,0,0,0,0,16.3,53.2,100,100,100,80.1,68.2,60.6,46,35.7,35.7,35.7,35.7
756,"CHE","Switzerland",68.6,68.6,68.6,68.6,68.6,72.2,72,74.4,78,79.6,75.9,70.6,68.9,61.3,57.6,55,53.1,55.6,57.1,59.4,59.9,58.7,59.5,58.6,60.7,60.6,61.6,63.1,63.1,63.1
760,"SYR","Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"TWN","Taiwan",24.5,24.5,24.5,24.5,24.5,29.7,28.6,12.2,2.4,0,0,0,0,0.6,17.9,33.8,48.1,46.1,48.2,50.5,55.1,51,45,42.8,42.8,38,35.6,34.8,34.8,34.8
762,"TJK","Tajikistan",56.7,56.7,56.7,56.7,56.7,66.7,75.9,82.3,89.1,81.4,64.1,46.4,29.4,12.5,2.7,0,0,0,0,0,3.9,7.9,14.8,18.3,10.6,6.1,5.7,4,4,4
834,"TZA","Tanzania",32.7,32.7,32.7,32.7,32.7,35.4,37.7,34.7,27.7,25.3,17.8,21.5,23.7,23,21.5,26.3,32.4,32.1,25.7,23.3,18.4,21.1,23.6,27.3,30.4,31.9,34.8,35.6,35.6,35.6
764,"THA","Thailand",34.3,34.3,34.3,34.3,34.3,41.6,46.7,46.8,39.2,33.2,32.3,30.3,20.8,17.1,9.5,7.4,8.6,9.8,9.6,14.6,29.6,42.3,43.5,51.5,61.3,62.7,62.8,57.8,57.8,57.8
626,"TLS","Timor-Leste",31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,38.9,38.1,32.9,31.7,31.6,25.5,21.7,21.2,20.1,15.5,20.7,31.5,39.8,39.8,39.8
768,"TGO","Togo",34.2,34.2,34.2,34.2,34.2,22,23.1,22.2,21.1,28.4,23.6,28.3,36.1,29.3,25.9,20.5,17.6,19.3,14.3,26.5,12.7,9.6,18.6,22.5,27.1,29.3,26.8,30.4,30.4,30.4
776,"TON","Tonga",47.6,47.6,47.6,47.6,47.6,50.6,55.2,57,56.6,52,49.7,47.5,47.3,46.8,46.5,48.1,50.3,52.7,54,54.2,53,50,49,48.1,47.2,47.4,48.3,48.3,48.3,48.3
780,"TTO","Trinidad and Tobago",40.9,40.9,40.9,40.9,40.9,39.9,40,38.1,38.3,38.6,38.8,38,37.3,37.2,37.3,37.4,35.7,35.4,49.1,51,48.8,51.8,52.1,51.7,51.5,50.2,44.6,40.1,40.1,40.1
788,"TUN","Tunisia",37.2,37.2,37.2,37.2,37.2,34.9,28.6,28.1,26.3,32.6,37.4,35.4,38.7,41.1,38.1,35.9,34.9,37.4,42.7,44,44.5,43.2,43.3,44.5,42.8,46.6,42.6,38.2,38.2,38.2
792,"TUR","Turkiye",38.3,38.3,38.3,38.3,38.3,38.4,46.1,48.5,47.1,52.3,55.9,52.9,53.6,52.5,46.5,42.2,44.2,24.1,5.2,0,0,0,0,0,0,2.7,19.3,16.9,16.9,16.9
795,"TKM","Turkmenistan",56.5,56.5,56.5,56.5,56.5,45.8,30.6,22,0.7,0,0,0,0,0,0,0,0,14.8,19.9,25.5,25.4,19.4,22.1,22.9,25.2,28.3,28.3,28.3,28.3,28.3
796,"TCA","Turks and Caicos Islands",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,4.6,7.1,7.1,7.1
798,"TUV","Tuvalu",38.7,38.7,38.7,38.7,38.7,42.6,41.8,37.3,35.7,34.2,35.5,36.7,39,40.2,38.8,39.9,43.3,43.3,43.9,43.5,44.8,46.6,48,47.2,43.2,40.9,40.7,39.9,39.9,39.9
800,"UGA","Uganda",25.2,25.2,25.2,25.2,25.2,26.5,28.2,28.8,24.6,25.2,22.3,28.6,24.7,5.6,0,0,0,0,0,0,0.1,15.6,28.1,28.6,33,33.7,37,37.1,37.1,37.1
804,"UKR","Ukraine",50,50,50,50,50,55.6,62,64.8,69.9,77.6,69,59.9,46.4,38.3,42.9,43.3,37.4,31.1,28.1,31.5,40.5,44.1,43.5,39.4,44.4,47.5,42.1,41.6,41.6,41.6
784,"ARE","United Arab Emirates",0,0,0,0,0,1.6,6.4,9,10.3,10.5,8.3,5.9,2.7,0,0,0,2,5.5,6.9,11.2,17.2,23.2,28.5,32.6,34.6,35.3,36.1,35.9,35.9,35.9
826,"GBR","United Kingdom",100,100,100,100,100,100,100,100,100,100,100,100,100,93,89.5,84.6,79.6,74.1,68.6,58.8,53.5,50.9,48.5,46.9,48.2,50.5,51.3,52.5,52.5,52.5
840,"USA","United States of America",39.2,39.2,39.2,39.2,39.2,40.2,44.4,47.6,49.1,48.8,49.2,46.9,44.8,45.6,47.5,47.9,49.5,53.5,53.8,53.8,54.3,52.4,50.8,50.9,55,56.3,54.8,55.2,55.2,55.2
858,"URY","Uruguay",47.3,47.3,47.3,47.3,47.3,56.6,64.1,65.8,59.5,52.6,48.1,39.1,33.1,28.4,26.9,29.8,34.3,37.8,39.9,41.3,46.1,46.2,48.2,51,52,53.5,51.4,46.5,46.5,46.5
860,"UZB","Uzbekistan",45.5,45.5,45.5,45.5,45.5,26.4,16.3,13.6,17.9,27.9,36.7,49.1,40.3,32.6,24,16.2,10.8,7,4.1,6,7.6,7.8,10.1,13.7,14,15.4,12.6,11.8,11.8,11.8
548,"VUT","Vanuatu",31.4,31.4,31.4,31.4,31.4,40.7,52,60.6,63.8,63.2,59.3,53.5,38.8,25.6,18.1,14.5,15.6,19.6,23.8,29.2,43,74.1,100,100,100,100,100,100,100,100
862,"VEN","Venezuela",42.7,42.7,42.7,42.7,42.7,41.6,37.1,34.6,32.4,30.9,26.8,27.7,27.8,25.7,27.5,35.2,42.5,44.3,44.8,46.2,47,50.4,52.3,52.4,51.4,52.6,52.9,53.6,53.6,53.6
704,"VNM","Viet Nam",0,0,0,0,0,0,0,6.5,14.1,14.4,21.6,27.1,31.8,39,31,27.8,35.3,38.6,33.2,30.1,24.6,24.3,21.6,28.1,21.8,22.2,28.1,35.4,35.4,35.4
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",15.9,15.9,15.9,15.9,15.9,11.7,10,10.1,9.3,9.9,12.5,15.6,14.4,14.1,16.7,20.4,24.8,31.3,32.5,33.2,39.9,46.1,48.9,50.8,50.6,50.7,50.8,50.6,50.6,50.6
894,"ZMB","Zambia",60.9,60.9,60.9,60.9,60.9,67.6,71.1,57.7,44.8,35.3,25.8,28.3,29.9,28.2,35.4,41.6,50.7,49,41.9,37.7,30,30.7,33.3,37.6,44,47.6,55.2,55.4,55.4,55.4
716,"ZWE","Zimbabwe",37.1,37.1,37.1,37.1,37.1,29.9,24.7,29.1,41.7,50.1,52.2,52.2,54.8,56.3,52.9,44.6,30.2,30.4,35.1,43.8,48.3,63,76.5,88.1,87.9,81.4,67.8,59.8,59.8,59.8
