"code","iso","country","USX.ind.1995","USX.ind.1996","USX.ind.1997","USX.ind.1998","USX.ind.1999","USX.ind.2000","USX.ind.2001","USX.ind.2002","USX.ind.2003","USX.ind.2004","USX.ind.2005","USX.ind.2006","USX.ind.2007","USX.ind.2008","USX.ind.2009","USX.ind.2010","USX.ind.2011","USX.ind.2012","USX.ind.2013","USX.ind.2014","USX.ind.2015","USX.ind.2016","USX.ind.2017","USX.ind.2018","USX.ind.2019","USX.ind.2020","USX.ind.2021","USX.ind.2022","USX.ind.2023","USX.ind.2024"
158,"TWN","Taiwan",29.9,31.7,34,36.4,37.5,39.3,41.7,43.9,46,47.7,49.7,51.6,53.8,55.9,57.8,58.4,58.4,58.7,59.9,60.9,62.1,63.3,64.5,65.2,66,66.5,67.1,67.1,67.1,67.1
762,"TJK","Tajikistan",32.6,32.4,32.3,32.1,31.9,31.8,32.4,33.3,34.3,35.5,36.8,38,39.1,39.9,40.9,42,43.3,44.7,45.8,47,48.2,49.5,50.8,51.1,51.4,51.6,51.8,51.8,51.8,51.8
834,"TZA","Tanzania",5.3,5.3,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6,6.1,6.1,6.1,6.2,6.4,6.4,6.5,6.6,6.8,6.9,7.2,7.5,7.8,8.1,8.5,8.8,8.8,8.8,8.8
764,"THA","Thailand",28.9,30.5,31.9,33.2,34.7,36.3,38.2,40.1,42.2,44.4,46.5,47.6,49.1,50.6,52,53.9,56,58.4,59.8,61.4,63.2,63.8,64.3,65.2,66.1,66.8,67.4,67.4,67.4,67.4
626,"TLS","Timor-Leste",0.3,0.6,1,1.5,1.8,2.2,2.6,2.9,3.2,3.5,4,4.7,5.4,6.2,7,7.5,8.1,8.7,9.3,9.6,10,10.3,10.5,10.7,11,11.1,11.3,11.3,11.3,11.3
768,"TGO","Togo",1.5,1.6,1.7,1.7,1.8,1.9,2,2,2.1,2.2,2.2,2.3,2.5,2.6,2.9,3.1,3.4,3.8,4.2,4.7,5.1,5.4,5.7,6.1,6.5,6.8,7.2,7.2,7.2,7.2
776,"TON","Tonga",16.6,17.2,18.2,18.8,19.5,20.1,20.9,21.7,22.4,23,23.7,24.4,25,26.1,26.2,26.3,26.3,26.4,26.3,26.2,26.2,26.1,26.7,27.2,27.8,28.4,29,29,29,29
780,"TTO","Trinidad and Tobago",35.6,36.6,37.8,39,40.6,42.2,43.6,45.3,47.4,49.4,51.6,54,55.1,56.4,57.3,58.2,59,59.7,60.4,61.1,62.1,62.5,62.9,63.3,63.7,64,64.3,64.3,64.3,64.3
788,"TUN","Tunisia",27,28.8,30.6,32.2,33.9,35.5,37.1,38,39,40.2,41.4,42.7,44,45.6,47.3,49.1,50.9,52.5,53.9,55.5,56.8,58.2,59.6,61,61.9,62.6,63.4,63.4,63.4,63.4
792,"TUR","Turkiye",18,18.9,19.8,20.8,21.8,22.8,23.7,24.5,25.4,26.7,28,29.4,30.7,32.1,34.1,36.1,38.2,40.4,42.6,44.2,45.6,46.9,48.5,49.6,50.7,51.5,52.3,52.3,52.3,52.3
795,"TKM","Turkmenistan",41.3,41.6,41.9,42.4,42.9,43.9,45.2,46.5,47.8,49.2,50.5,52.2,52.8,53.4,54.5,55.6,57.2,58.9,60.8,63,65.5,65.8,66.1,66.2,66.6,67,67.3,67.3,67.3,67.3
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,"TUV","Tuvalu",9.4,9.8,10.7,11.5,12.2,13,13.8,14.7,15.4,16,16.5,17.2,17.8,18.9,19.1,19.1,19.1,19,19,19.2,19.3,19.3,19.8,20.3,21,21.6,22.1,22.1,22.1,22.1
800,"UGA","Uganda",3.5,3.6,3.8,4,4.2,4.5,4.7,5,5.1,5.3,5.5,5.7,5.8,5.9,5.9,6,6,6,6,6,5.9,6.1,6.3,6.6,6.9,7.2,7.5,7.5,7.5,7.5
804,"UKR","Ukraine",52.2,52.3,52.4,52.4,52.3,52.2,52.4,52.8,53.6,54.8,56.1,57.6,59.2,60.6,61.5,62.5,63.7,64.8,65.3,65.8,66,66.4,66.7,67,67.3,67.4,67.5,67.5,67.5,67.5
784,"ARE","United Arab Emirates",66.1,69.2,72.1,74.8,77.4,79.8,82.3,84.6,86.9,87.7,88.2,88.9,89.8,91.1,92.5,93.7,94.9,95.8,96.4,97,97.5,98,98.5,99.1,99.5,100,100,100,100,100
826,"GBR","United Kingdom",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
840,"USA","United States of America",63.5,64.3,64.9,65.5,66.2,67.2,68.4,69.4,70,70.5,70.6,70.6,71.1,72.1,73.4,74.7,75.6,76.4,77.2,77.9,78.7,79.5,80.2,80.9,81.7,82.1,82.5,82.5,82.5,82.5
858,"URY","Uruguay",62.5,64.7,68.1,71.7,75,77.9,80.5,82.8,83,83.3,83.5,84.5,85,85.6,86.3,87.2,88.1,89.1,90.1,91.2,92.5,93.5,94.5,95.5,96.5,97.3,98.1,98.1,98.1,98.1
860,"UZB","Uzbekistan",25,25.4,26.7,28,29.2,30.5,32,33.3,35,36.8,38.6,40.5,40.6,40.6,41,41.4,42,42.8,43.5,44.4,45.6,46.2,46.7,47,47.5,47.7,48,48,48,48
548,"VUT","Vanuatu",5.3,5.6,6,6.4,6.8,7.2,7.6,8,8.3,8.6,9,9.4,9.9,10.1,10.3,10.4,10.5,10.7,10.7,10.9,11,11,11.2,11.4,11.7,12,12.2,12.2,12.2,12.2
862,"VEN","Venezuela",27.9,28.6,29.4,30.2,30.9,31.7,31.9,31.3,30,29.1,29.1,30.2,31.6,32.9,33.6,34.1,34.9,35.8,36.6,37.3,37.9,37.9,37.6,37.3,37.4,37.3,37.2,37.2,37.2,37.2
704,"VNM","Viet Nam",2.4,2.9,3.3,3.7,4.1,4.5,5,5.6,6.4,7.1,7.8,8.6,9.5,10.4,11.4,12.5,13.5,14.6,15.7,16.6,17.6,18.5,19.4,20.4,21.3,22.1,23,23,23,23
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",0.2,0.6,1,1.4,1.8,2.3,2.7,3.2,3.8,4.4,4.9,5.6,6.2,6.9,7.7,8.5,9.3,10.1,10.6,11.3,11.8,12.3,12.7,13.1,13.4,13.7,14.1,14.1,14.1,14.1
894,"ZMB","Zambia",1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.7,1.8,2,2.2,2.5,2.7,3,3.4,3.8,4.3,4.7,5.1,5.5,5.9,6.2,6.7,7.1,7.5,7.8,7.8,7.8,7.8
716,"ZWE","Zimbabwe",10.5,10.7,10.8,10.9,10.9,10.9,10.9,10.8,10.7,10.3,9.9,9.5,9.1,8.7,8.6,8.6,8.7,9.1,9.6,10.2,10.7,11.1,11.5,12,12.4,12.5,12.6,12.6,12.6,12.6
